タイトル,あらすじ,ジャンル
異世界魔王と召喚少女の奴隷魔術,あるゲーマーは魔王として異世界に召喚され、ひょんなことから召喚主である2人の少女を奴隷とする羽目に。共に冒険をする3人の関係は、一体どうなってゆくのか!?,主人公最強アニメ
デビルズライン,鬼に襲われかけた大学院生のつかさを救ったのは、鬼の血を引く捜査官・安斎。次第にひかれあう2人だが、安斎の体に流れる鬼の血が、その幸せの邪魔をする…。,主人公最強アニメ
ムヒョとロージーの魔法律相談事務所,天才的な魔法律の執行人・ムヒョと助手のロージー。霊に悩める人々からの依頼に応じ、魔法律を駆使して悪霊や死霊に立ち向かう。,SF・ファンタジーアニメ
メジャーセカンド,茂野大吾の父はプロ野球選手で元メジャーリーガー。父にあこがれて野球を始めるが、二世のプレッシャーに苦しむ。そんな彼の前に、アメリカ帰りの転校生が現れる。,スポーツアニメ
LOST SONG,"星の運命すら変えてしまうほどの奇跡を生む""歌""を歌う2人の少女。だが、戦争の影が次第に色濃くヌーナシアの王国を覆うとき、過酷な運命が彼女たちを襲う…。",SF・ファンタジーアニメ
DOUBLE DECKER! ダグ&キリル,致死性の高い危険な薬物を取り締まる、ベテラン刑事ダグラス・ビリンガムと新米刑事キリル・ヴルーベリ。型破りな2人がコンビを組み、数々の事件に立ち向かう。,SF・ファンタジーアニメ
Caligula -カリギュラ-,"自我が芽生えたバーチャルアイドルが、現実という""地獄""から人々を救うために理想の世界を創り出し、誘い込む。辛い現実を忘れ、ただ幸せに暮らせるように。",ビデオゲームが原作のアニメ
ちおちゃんの通学路,"座右の銘は""中の下""で、目立つことは嫌い。そんな平凡な女子高生ちおを待ち受ける、平凡とは程遠い通学風景。数々の障害を乗り越えて、今日も無事登校できるか?!",コメディ・ギャグアニメ
citrus,ギャルの柚子は、親の再婚によって女子高に編入。これじゃ彼氏もできない! と落胆する柚子だが、義理の姉妹となったクールな生徒会長に不思議と心ひかれてゆく。,恋愛アニメ
フリクリ オルタナ／プログレ,おかしなことが起こっているのに、いつもと代わり映えの無い街。思春期真っただ中の2人の少女は嵐のような奇妙な女に出会い、何気ない日常が終わりを告げる!,国内SF・ファンタジー
デスマーチからはじまる異世界狂想曲,デスマーチの真っ最中にプログラマーが入り込んだのは、自らが取り組んでいたゲームによく似た異世界。財宝と最強レベルの力を得て、いざめくるめく冒険の旅へ!,主人公最強アニメ
映画しまじろう まほうのしまの だいぼうけん,まほうのしまに毎年来るはずの春が来なくて、まほうつかいのアウラや村人たちが困っているよ。しまじろうたちはみんなと協力して、春を呼ぶことができるかな?,アニメ
アニメ「ISLAND」,世界から忘れられたかのような美しくも寂しい島に、未来から来たと自称する青年が漂着。彼はある使命のために奔走し、島に眠る謎と秘密が明らかになってゆく。,ビデオゲームが原作のアニメ
火ノ丸相撲,相撲は巨体が絶対有利な競技だが、小兵の高校生力士、潮火ノ丸にその常識は通用しない。でっかい夢を胸に高校相撲の頂点を目指し、弱小相撲部の下克上が始まる!,スポーツアニメ
やがて君になる,男子からの愛の告白。けれど、胸は高鳴らず、恋する気持ちが分からない…。そんな小糸侑は高校の女子から告白され、戸惑いながらも不思議な気持ちを抱いてゆく。,恋愛アニメ
あかねさす少女,"並行世界(パラレルワールド)ともう一人の自分への扉を開いてしまった土宮明日架と""鉱石ラヂオ研究会""の仲間たち。あの儀式はただの都市伝説じゃなかった!",SF・ファンタジーアニメ
