タイトル,あらすじ,ジャンル
とある科学の超電磁砲OVA,ある日を境に、誰かの射るような視線を背中に感じ始めた超能力者の美琴。彼女がストレスを募らせる中、他にも同じように感じている生徒がいることが判明する。,主人公最強アニメ
ルパン三世TVSP#21 the Last Job,ドイツで発見された地獄如来像。警備に当たる銭形に犯行予告するルパンだが、真の狙いは別のお宝だった。だが強盗モルガーナもまた、同じ如来像を狙っていた。,アクションアニメ
バクマン。,中学生の真城最高は、同級生の秀才・高木秋人とプロのマンガ家を目指しコンビ結成。憧れの亜豆美保との約束を果たすためにも、情熱と青春の全てをマンガに注ぐ!,週刊少年ジャンプが原作のアニメ
しまじろう ヘソカ,"しまじろうと愉快な仲間たちが""ちゃれんじ島""で展開する、冒険あり、ファンタジーありの物語。学校へ行き、遊ぶなかで、たくさんのことを学んでいく。",キッズTV番組
俺の妹がこんなに可愛いわけがない,ごく普通の17歳・京介は14歳の妹・桐乃とは冷え切った関係。ところが妹のオタクな趣味を知ったことをきっかけに、会話もなかった兄妹関係に変化が訪れる。,コメディ・ギャグアニメ
劇場版 あたしンち「情熱のちょ～超能力♪ 母大暴走!」,"ある朝、カミナリの直撃を受けたタチバナ家の母が、超能力を手に入れる。人を助ける""エスパーママン""に変身したのはいいけれど、大変な事件を起こしてしまう。",コメディ・ギャグアニメ
イヴの時間 劇場版,彼らはあくまでも便利な家電。そう考えていた高校生のリクオが知ったのは、アンドロイドたちの秘密の空間。人間とロボット、その境界が少しずつ揺らぎ始める…。,国内SF・ファンタジー
映画 プリキュアオールスターズDX2 希望の光 レインボージュエルを守れ,つぼみとえりかの妖精のパートナーのコフレとシプレが姿を消す。机の上に残された謎の招待券を手がかりに、2人は海の上に浮かぶ遊園地・フェアリーパークへ向かう。,アニメ
映画 プリキュアオールスターズDX みんなともだちっ 奇跡の全員大集合!,ダンスコンテストに出場するため会場に向かうプリキュアたちは、街を飲み込もうとする悪者に遭遇。みなとみらいを舞台に、プリキュアたちが総動員して強敵に挑む。,アニメ
映画 ハートキャッチプリキュア!花の都でファッションショー···ですか!?,ファッションショーに出るためパリにやってきたプリキュアたちは、満月の夜に狼男が現われるという噂を聞く。そんな中、傷だらけの少年が空から舞い降りてくる。,アニメ
鋼の錬金術師 Fullmetal Alchemist,兄、エドワード・エルリックと弟、アルフォンス・エルリックは失ったものを取り戻すため、「賢者の石」を探す旅に出る。,ロボット・サイボーグアニメ
Fairy Tail,4人の若い魔導士がチームを組んで様々な仕事を引き受けることになる。力を合わせて依頼を解決するうちに、どんな魔法より強い絆が培われていく。,コメディ・ギャグアニメ
涼宮ハルヒの憂鬱 (2009年放送版),女子高生の涼宮ハルヒによれば、この世界には宇宙人、未来人、超能力者が人間のふりをして潜んでいるらしい。真剣なハルヒは団長となり、ある団体を立ち上げる。,SF・ファンタジーアニメ
とある科学の超電磁砲,超能力開発を行う学園都市で、最強の超能力を持つ御坂美琴はエレクトロマスターと呼ばれる電撃使い。だが、彼女は、平和な日々が変わり始めたことをまだ知らない。,主人公最強アニメ
化物語,怪異とは――世界そのものなのだから。生き物と違って――世界と繋がっている。,SF・ファンタジーアニメ
ONE PIECE FILM STRONG WORLD,"世界政府の破滅を企み、東の海(イースト・ブルー)に現れた""金獅子のシキ""。次々と街を滅ぼし、ナミを連れ去り、ルフィたちを船から空飛ぶ島へと振り落とす。",日本アカデミー賞受賞映画
Halo Legends/ヘイロー・レジェンズ,大人気のゲームシリーズ、HALOの世界を舞台とした短編アニメ集。7つの物語を手掛けるのは、気鋭の監督達。未来で繰り広げられるSFショートストーリー。,ビデオゲームが原作のアニメ
東のエデン,ホワイトハウスの前で、ひとりの日本人の青年が全裸で目を覚ました。彼は滝沢朗。記憶は全くないが、なぜか手には銃と得体の知れない携帯電話を握っていた。,SF・ファンタジーアニメ
クロスゲーム,ピッチングの才能に恵まれた青葉と、幼くして亡くなった青葉の姉・若葉の想いに応えるべく野球を続ける少年・光。ともに目指すは、高校野球の夢の舞台、甲子園!,スポーツアニメ
犬夜叉　完結編,犬夜叉とかごめ達の旅は、いよいよ終局へ。宿敵・奈落の悪しき野望を砕くため、そして四魂の玉を巡る全ての因縁を終わらせるため、決戦の幕が切って落とされる。,SF・ファンタジーアニメ
咲-Saki-,麻雀を打つことに乗り気ではない咲。ところが、友達に連れられて麻雀クラブに足を踏み入れてみると、見る見るうちにクラブにとって欠かせないメンバーに!,主人公最強アニメ
東のエデン 劇場版,滝沢と咲が友人らと共に日本を大惨事から救ってから半年。セレソン達が日本を救うため新たな戦いに挑む。セレソンゲームの最終局面が2部構成で描かれる。,国内SF・ファンタジー
地獄甲子園,夏の甲子園を目指す星道高校野球部。だが予選一回戦の対戦相手が、ルール無視のラフプレーで知られる外道高校に決まる! 恐るべき相手に太刀打ちできるか!?,コメディ・ギャグアニメ
劇場版 珍遊記 ～太郎とゆかいな仲間たち～,伝説のギャグ漫画、ここに降臨! 天下のかぶき者・山田太郎の妖力を僧侶の玄じょうが封じ、共に天竺をめざす旅に出る。下品なネタ満載の爆笑ワールドが炸裂!,コメディ・ギャグアニメ
交響詩篇エウレカセブン ポケットが虹でいっぱい,幼なじみの少女エウレカが何者かに連れ去られてから8年。思わぬ場所で偶然の再会を果たした少年兵レントンは、何としてでもエウレカを救出しようとするが…。,国内SF・ファンタジー
マイマイ新子と千年の魔法,戦後、復興期にある日本の片田舎。祖父から聞いた千年前のにぎやかな都の様子に思いをはせる空想好きな少女は、東京から転校してきた大人しい少女と仲良くなる。,キッズ・ファミリー映画
映画 フレッシュプリキュア! おもちゃの国は秘密がいっぱい!?,プリキュアたちがパジャマパーティーで盛り上がっていたある夜、町中からおもちゃが消える怪現象が起こる。どうやら世界征服を企むトイマジンのしわざらしい。,アニメ
とある魔術の禁書目録,"特殊な能力を右手に宿した当麻は、""必要悪の教会""のシスター、インデックスと力を合わせ、悪の勢力と戦うことに。彼らの狙いは彼女だけが記憶している魔道書だ。",SF・ファンタジーアニメ
うちの3姉妹,お母さんをヤキモキさせるおっぺけぺ～な長女に、言われたことをスルーする次女。そしてまだまだ赤ちゃんだけど食欲がつきない三女。松本家では今日も事件連発!,コメディ・ギャグアニメ
とらドラ!,目つきは鋭いが、温厚で優しい竜児。一方、短気でわがまま、しかも凶暴な低身長美少女、大河。恋の共同戦線を張ることになった2人、片思いは成就するのか!?,コメディ・ギャグアニメ
スカイ・クロラ　The Sky Crawlers,平和な時代、ショーとしての戦争で戦闘機に乗って戦う子供たち。司令官に恋をしたエースパイロットの少年は、自らが背負った悲しく切ない運命に翻弄される。,国内SF・ファンタジー
ワンピース エピソード オブ チョッパー プラス 冬に咲く、奇跡の桜,病に倒れたナミのため、ドラム王国にて医者を探すルフィたち。そこで医術を持ったトナカイ・チョッパーと出会うが、同時に旧王ワポルの総攻撃にあい...。,国内アクション・アドベンチャー
ルパン三世TVSP#20 sweet lost night ～魔法のランプは悪夢の予感～,不二子にねだられ魔法のランプを手に入れたルパン。実はそれがとんでもないハイテクな代物だと知ると、ガーリック大佐はじめ一同は大争奪戦を繰り広げることに。,アクションアニメ
ハローキティのマジカルあいうえお,ハローキティやかわいい仲間たちと一緒に、あいうえおの50音を楽しく学ぼう! うたやおどりで遊びながら、小さなお子様の学習を魔法のちからでお手伝い。,キッズ音楽
映画 Yes! プリキュア5GoGo! お菓子の国のハッピーバースディ,お菓子の国に招待され、お菓子を堪能するプリキュアたち。そこにプリキュアたちをお菓子にしてしまおうと企む悪者ビター&ドライ、ムシバーンが現れる。,アニメ
古代王者 恐竜キング Dキッズ・アドベンチャー,悪いアクト団から恐竜を守るため、リュウタ、レックス、マルムが世界中に散らばる恐竜カードを探すぼうけんに出発! 本物の恐竜を呼び出すバトルが熱すぎる!,ビデオゲームが原作のアニメ
機動戦士ガンダム00,化石燃料が枯渇した未来。国家間の戦争に終止符を打つべく、私設武装組織ソレスタルビーイングが出現。彼らはガンダムをもって、武力による戦争の根絶を目指す。,ロボット・サイボーグアニメ
ゲゲゲの鬼太郎 (第5作),不思議で奇妙なことが起きたら、それは妖怪の仕業に違いない。でも、妖怪に太刀打ちできるのは、ゲゲゲの鬼太郎とその仲間たちだけ。困ったときは、彼らに頼もう!,SF・ファンタジーアニメ
交響詩篇エウレカセブン,"遠い未来。空を滑走するスポーツ""リフ""が大好きな少年レントン。LFOを操る神秘的な少女エウレカとの出会いをきっかけに、""世界""を知るための旅が始まる。",ロボット・サイボーグアニメ
デビル メイ クライ,"便利屋""Devil May Cry""を営む半人半魔のダンテ。その真の顔とは、悪魔を狩るデビルハンター! ゲームから生まれた、スタイリッシュなアクションアニメ。",ビデオゲームが原作のアニメ
ぼくらの,少年少女達は、巨大ロボットに乗って敵と戦う契約を結んだ。戦わなければ地球は滅亡するが、操縦者は代償として命を落とす。選択肢は世界の破滅か、自らの死か。,ロボット・サイボーグアニメ
らき・すた,おたくな女子高生・泉こなたは、宿題よりも、アニメ、マンガ、ゲーム! 友達のみゆき、つかさ、かがみとのゆるゆるーな日常生活をほのぼの描く、学園アニメ。,コメディ・ギャグアニメ
トップをねらえ! &トップをねらえ2! 合体劇場版!!,人類が宇宙に進出するようになった未来。宇宙パイロットになることを夢見る少女ノリコとノノが、宇宙を舞台に、地球の敵である宇宙怪獣に立ち向かう。,国内SF・ファンタジー
ワンピース エピソード・オブ・アラバスタ 砂漠の王女と海賊たち,アラバスタ王国では悪の秘密結社が暗躍。諸悪の根源がクロコダイルだと知った王女・ビビと麦わら海賊団が、その陰謀から砂漠の国を守るべく立ち上がる。,国内アクション・アドベンチャー
ラブコン,"小泉リサと大谷敦士は、高校でも有名な""オール阪神・巨人""。もちろん本物の漫才コンビではなく、いがみ合う2人の姿が周囲からは漫才にしか見えないから。",コメディ・ギャグアニメ
ピアノの森,ピアニストを目指す修平は、転校早々に森の壊れたピアノを弾くようにガキ大将から命じられる。実は、そのピアノから美しい音を出せるのは同級生の海だけだった。,キッズ・ファミリー映画
茄子 スーツケースの渡り鳥,チーム「パオパオ・ビール」、今度の舞台は日本! マルコの自殺にショックを受け、引退を考えていたチョッチ。悲しみを胸に秘めながらジャパンカップに挑む。,スポーツアニメ
ルパン三世TVSP#19 霧のエリューシヴ,時を超える乗り物を探すルパン一味とそれを追う銭形。謎の光に包まれるといつの間にか弓矢の飛び交う戦場にいた。そこは500年前の世界だった!,コメディ・ギャグアニメ
映画 Yes! プリキュア5 鏡の国のミラクル大冒険!,西洋風のテーマパークでお姫様気分を満喫するプリキュアたち。そこでココとナッツがさらわれ、助けに向かうプリキュアたちの前に、自分たちにそっくりな敵が出現。,アニメ
劇場版 CLANNAD -クラナド-,朋也は毎日を無気力に過ごし、高校生活を楽しめずにいた。病弱な少女、渚に出会うまでは…。演劇部の再建を目指す渚の懸命な姿に、朋也は次第に心ひかれてゆく。,ビデオゲームが原作のアニメ
銀魂,"天人の来襲後、価値観が変わってしまった江戸は、高層ビルやバイクなど何でもありの世界。だがここに、今でも変わらない""魂""を持った最後のサムライがいた。",コメディ・ギャグアニメ
コードギアス 反逆のルルーシュ,未来を守るためすべてを壊す。神聖ブリタニア帝国から日本を開放すべく、絶対遵守の力を授かった少年は母国に反旗を翻す。運命の扉よ、愛と憎しみの狭間で開け。,主人公最強アニメ
ひぐらしのなく頃に,"都会から山奥の寒村に引っ越してきた少年・圭一は、みんなと仲良くなり楽しい日々を過ごしていた。だが、祭りの""謎""を知って以来、周りが徐々に変化していく。",ビデオゲームが原作のアニメ
ブラックラグーン,商社マン・岡島緑郎は、機密ディスクを運ぶ任務中、南シナ海で違法な運び屋に拉致される。会社に見捨てられた緑郎は、運び屋の一員となり新たな人生を歩み始める。,アクションアニメ
攻殻機動隊 STAND ALONE COMPLEX Solid State Society,"世間を揺るがせた難民事件の後、謎の失踪を遂げた草薙。トグサが率いる新生公安9課は、""傀儡廻""と呼ばれる超ウィザード級ハッカーの脅威に立ち向かうことに。",国内SF・ファンタジー
Fate/stay night フェイト／ステイナイト,大災害で孤児となり、魔術師・衛宮切嗣に育てられた士郎。ふとしたきっかけから、あらゆる願いを叶えると言われる聖杯を巡る戦い「聖杯戦争」に巻き込まれる。,ビデオゲームが原作のアニメ
彩雲国物語,名門だが貧しい紅家の娘・秀麗は、ダメ王とウワサされる新王の教育係を引き受け、妃の身分で後宮に入ることに。架空の国、彩雲国を舞台につづられる宮廷浪漫。,歴史・時代劇
機動戦士ΖガンダムIII -星の鼓動は愛-,「機動戦士Ζガンダム」の劇場化第3弾。地球圏の戦乱は、エゥーゴ、ティターンズを掌握したいシロッコ、そしてアクシズの三つどもえの死闘により混迷を極める。,国内SF・ファンタジー
うっかりペネロペ,アン・グットマンの絵本を原作にした子供向けアニメ。ちょっとうっかりしているけど、好奇心旺盛で元気な3才の女の子、青いコアラのペネロペの毎日を描く。,キッズTV番組
ゼロの使い魔,トリステイン魔法学院2年生のルイズ。貴族の血統である彼女はいつか強力な魔法使いになることを目指していたが、実は魔法の才能ゼロの落ちこぼれだった。,コメディ・ギャグアニメ
ワンピース THE MOVIE カラクリ城のメカ巨兵,お婆さんをメカ島へ送ったルフィたちは、島の領主、ラチェットと協力して宝を探すことに。ところがラチェットは、ルフィたちを利用したいだけだった。,国内アクション・アドベンチャー
ルパン三世TVSP#18 セブンデイズ・ラプソディ,"それぞれ別々の仕事を進めていたはずのルパンとその一味だが、どういうわけか奇妙に絡み合う。その背後には、ダイヤモンド""女神の涙""を巡る陰謀があった。",コメディ・ギャグアニメ
まじめにふまじめ かいけつゾロリ なぞのお宝大さくせん,悪いかいぞくに追われているカワイイ少女を助けたゾロリ。少女は、父の形見を手がかりに宝物を探していた。少女に一目ぼれしたゾロリは、宝探しを手伝うことに。,コメディ・ギャグアニメ
映画 ふたりはプリキュア Splash Star チクタク危機一髪!,"のど自慢大会にデュエットで出場を決めた咲と舞。当日咲が寝坊、何とか間に合うが歌詞をド忘れ。心の中で""時間よ止まれ!""と願うと本当に時間が止まり...。",アニメ
ドラえもん,ぐうたら少年、のび太の前に現れたのは、未来から来た不思議なロボット、ドラえもん。四次元ポケットから秘密の道具を取り出して、どんな願いもかなえちゃう!,キッズTV番組
蟲師,"意識の周縁に垣間見える、""蟲""と呼ばれる神秘なるモノたち。人間と蟲が遭遇する幻想的な世界へいざなう、数々の賞を受賞した珠玉のアニメシリーズ。",SF・ファンタジーアニメ
バジリスク～甲賀忍法帖～,時は慶長19年。混乱を極める三代将軍の世継ぎ争いに巻き込まれ、愛し合いながらも戦わざるを得ない甲賀の弦之介と伊賀の朧。引き裂かれた二人の愛の行方は...。,歴史・時代劇
劇場版 甲虫王者ムシキング,"""ムシキング""で世界一を目指す少年・ケントの前に、""ダークサイド・ネプチューンオオカブト""を操る少年・シローが現われて、究極のムシバトルが今、始まる!",ビデオゲームが原作のアニメ
ワンピース THE MOVIE オマツリ男爵と秘密の島,オマツリ島を訪れ、オマツリ男爵に出会ったルフィたち。リゾートを思いっきり楽しむ前に地獄の試練を乗り越えなければ、もてなしを受けられないと言われ...。,国内アクション・アドベンチャー
ルパン三世TVSP#17 天使の策略 〜夢のカケラは殺しの香り〜,エリア51からオリジナルメタルと呼ばれるUFOのカケラを盗み出したルパン一味。だが反米女性テロ組織ブラッディエンジェルスに狙われてしまう。,コメディ・ギャグアニメ
まじめにふまじめ かいけつゾロリ,子分のふたご・イシシとノシシを引きつれて、イタズラしゅぎょうの旅をするキツネのゾロリ。世界中のおたからを手に入れるため、ドキドキの大ぼうけんに出発だ!,コメディ・ギャグアニメ
ルパン三世TVSP#12 1$ マネーウォーズ,わずか1ドル差で指輪のオークションに競り負けてしまったルパン。しかしこの指輪には、世界の王になれるというブローチの所在を示す秘密が隠されていた。,アクションアニメ
機動戦士ΖガンダムII -恋人たち-,"連邦軍のエリート組織""ティターンズ""と、反地球連邦組織""エゥーゴ""の内戦は苛烈を極めていた。そんな中、旧ジオン軍の残党が公国の再興を目論み...。",国内SF・ファンタジー
劇場版 AIR,人形芸をしながら旅をする往人と、海辺の町で暮らす少女、観鈴。運命の出会いを果たした2人は、やがて恋に落ちてゆく。まるで、町に伝わる恋物語のように…。,ビデオゲームが原作のアニメ
映画 ふたりはプリキュアMax Heart,"世界に希望のパワーを送り出す""希望の園""のダイヤモンドラインが、闇の世界の魔女に狙われる。希望の園を守るため、プリキュアたちは希望の園に向かう...。",アニメ
映画 ふたりはプリキュア Max Heart2 雪空のともだち,"なぎさたちとやって来たスキー場で、ひかりは不思議な卵を見つける。生まれてきたのは伝説の鳥""ほうおう""だったため、怪しい闇の世界の影が忍び寄ってくる。",アニメ
BLEACH,高校生の黒崎一護は死神の朽木ルキアと出会い、死神の力を手に入れた。死神代行として邪悪な魂の退治を始めた一護は、死神世界の動乱と戦いに巻き込まれてゆく。,主人公最強アニメ
イノセンス,肉体の機械化が進み、人間と機械の境界が曖昧になった世界。少女型ロボットが、所有者の人間を惨殺する事件が発生。サイボーグの刑事が迫る、事件の真相とは…。,国内SF・ファンタジー
ジパング,"西暦200X年。海上自衛隊の新鋭イージス艦""みらい""が正体不明の嵐に遭遇。なんとタイムスリップしたみらいは、太平洋戦争の只中に降り立つ...!",ミリタリー・戦争アニメ
GANTZ,"電車ではねられて即死したはずの高校生2人は瞬時にしてマンションの一室に移動。そこで""ガンツ""と呼ばれる黒い球体から宇宙人と戦うミッションを課せられる。",ゲーマーにオススメのアニメ
妄想代理人,"世間を震かんさせる通り魔事件が発生。犯人はバットを持ち、金色のローラーブレードを履いているという""少年バット""。2人の刑事がその正体と事件の解明を急ぐ。",サスペンス・ホラーアニメ
メジャー,幼い頃から野球が大好きな少年・本田吾郎は、プロ野球選手である父の背中を追いリトルリーグへ入団。夢に向かってひた走る吾郎の、熱い野球人生が始まった!,スポーツアニメ
聖闘士星矢 天界編 序奏 ~overture~,冥界での死闘で力を失った星矢。神に抗った星矢の抹殺を命じる月の女神アルテミス。星矢の命を救うため、沙織はアテナの地位と地上世界の支配権を姉に譲り渡す。,国内SF・ファンタジー
機動戦士Ζガンダム -星を継ぐ者-,"高校生の少年が反抗心から、新型""ガンダムMk-II""を盗む。そして地球連邦軍のエリート部隊と、その支配に反発するレジスタンス組織の戦争に身を投じる。",国内SF・ファンタジー
スチームボーイ,発明一家に生まれた少年レイは、祖父ロイドから謎の金属ボールを託される。この球体こそ、国全体に必要な動力をまかなう程のエネルギーを持つ驚異の発明だった。,国内SF・ファンタジー
ルパン三世TVSP#16 盗まれたルパン 〜コピーキャットは真夏の蝶〜,"マルコヴィッチという男が不二子を人質に世界最高の宝石""ブルズ・アイ""を要求してきた。ルパンたちはやむなく世界一の警備を誇る博物館に侵入することに。",コメディ・ギャグアニメ
ワンピース 呪われた聖剣,アスカ島の奥地へと入り、島に伝わる七星剣について知ったルフィたちは、裏切りや襲撃に直面する。さらに、剣に封じられていた妖力が復活しようとしていた。,国内アクション・アドベンチャー
それいけ! ズッコケ三人組,行動力があって、物知りで、食いしんぼうな男子3人組は、何でも興味いっぱい。いっしょに事件を解決したり、時には起こしたり。ぼうけんがみんなを待っている!,キッズTV番組
鋼の錬金術師,エドワードと弟アルフォンスは、死んだ人間を蘇らせるという錬金術最大の禁忌を犯してしまう。二人は失った全てを取り戻すため絶大な力をもつ「賢者の石」を探す旅に出る。,SF・ファンタジーアニメ
プラネテス,ハチマキは宇宙ステーションで宇宙ゴミを回収するのが仕事の、21世紀のサラリーマン。宇宙船を手に入れるのが夢だ。社会人になって4年。将来が気になる年頃だ。,SF・ファンタジーアニメ
茄子 アンダルシアの夏,世界三大自転車レースの一つブエルタ・ア・エスパーニャで、ぺぺは勝利を目指し、ひたすら走り続ける。故郷の村を通り抜けるとき、様々な思いが心をよぎる…。,スポーツアニメ
ワンピース THE MOVIE デッドエンドの冒険,"世紀の大レース、""デッドエンド""にエントリーするルフィたち。ガスバーデ将軍や海賊の懸賞金を狙うアナグマなど、そこには強力なライバルたちが参加していた。",国内アクション・アドベンチャー
映画 あたしンち,父・母・みかん・ユズヒコのタチバナ家では、相変わらず母のパワー炸裂。だが、それなりに平和だった毎日が、母とみかんの体が入れ替わって以来、大変なことに!,コメディ・ギャグアニメ
ルパン三世TVSP#15 お宝返却大作戦!!,ルパンの新たな狙いは亡きマークが盗んだトリックダイヤ。そのためには、マークがあちこちから盗んだお宝を期日内にもとの場所に返さなくてならない。,コメディ・ギャグアニメ
げんきげんきノンタン,いつでも元気いっぱいな、子ねこのノンタン。妹のタータンや友達のぶたさん、うさぎさん、たぬきさん、くまさん、はちさんといっしょに、みんなで楽しく遊ぼう!,キッズTV番組
攻殻機動隊 STAND ALONE COMPLEX,"電脳犯罪への対処や要人警護など多岐に渡る任務をこなす公安9課、通称""攻殻機動隊""。サイボーグの草薙素子を中心に、彼らがネットに潜む犯罪に立ち向かう。",ロボット・サイボーグアニメ
聖闘士星矢 冥王ハーデス編,ポセイドンとの死闘を終えた聖闘士たちに迫る新たな脅威。封印が解け復活を遂げた冥王ハーデスが、宿敵アテナの命、そして地上世界の覇権を狙い、いま動き出す。,SF・ファンタジーアニメ
フルメタル・パニック!,"普通の高校生、千鳥かなめには""ウィスパード""と呼ばれる特殊能力があった。秘密組織に命を狙われる彼女を保護するため、最強のエージェントが送り込まれる。",コメディ・ギャグアニメ
十二国記,ある日突然、異世界へと導かれた平凡な日本の女子高生・陽子。謎の剣を頼りに、生き残る術を求めて異世界を旅する陽子の冒険を描く壮大な大河ファンタジー。,SF・ファンタジーアニメ
機動戦士ガンダムSEED HDリマスター,"宇宙コロニー""プラント""と地球連合の戦争の渦中で中立国オーブが攻撃された。若きガンダム操縦士キラ･ヤマトは抗う間もなく、壮絶な戦闘に巻き込まれていく。",主人公最強アニメ
カウボーイビバップ　天国の扉,舞台は2071年、火星。タンクローリー車の炎上事故を引き金に、お馴染みの賞金稼ぎたちが今度はバイオテロ犯を追う。史上最高の懸賞金は俺らが貰ってやる!,国内SF・ファンタジー
最終兵器彼女,ドジで内気な高校生のちせは、あこがれの彼とつきあい始めたばかり。自衛隊の最終兵器として改造されていた彼女はある日、自分の意思とは関係なく戦闘モードに。,ロボット・サイボーグアニメ
しましまとらのしまじろう,"しまじろうと愉快な仲間たちが""ちゃれんじ島""で展開する、冒険あり、ファンタジーありの物語。様々な出来事、行動を通して、たくさんのことを学んでいく。",キッズTV番組
ルパン三世TVSP#14 Episode:0 ファーストコンタクト,次元はある記者に、ルパンや仲間たちとの出会い、人間模様を語り始める。ルパン、不二子、次元、五ェ門、銭形警部の過去が初めて明らかに!,コメディ・ギャグアニメ
∀ガンダム I地球光 / II月光蝶,ムーンレィスの少年ロランは月の民と、地球に住む者たちとの間で戦争が起こることを恐れていたが、地球潜入中に、複雑な勢力争いに巻き込まれていく...。,国内SF・ファンタジー
ワンピース 珍獣島のチョッパー王国,ルフィ達が訪れた王冠島では、秘宝を狙うバトラー伯爵一味がツノのある動物達を襲っていた。伝説の動物王だと勘違いされたチョッパーは、動物達を守れるのか!?,国内アクション・アドベンチャー
テニスの王子様,青春学園中等部のテニス部に入部することになった、天才テニスプレーヤー・越前リョーマ。負けずぎらいのスーパールーキーが、青学テニス部にあらしを呼ぶ!,スポーツアニメ
フルｰツバスケット,天涯孤独となった女子高生・本田透は、訳あって同級生の男子・草摩由希の家に居候。一見普通に見える草摩一家だが、重大なヒミツを隠し持っていた。,コメディ・ギャグアニメ
ルパン三世TVSP#13 アルカトラズ コネクション,サンフランシスコ沖に浮かぶカジノ船から大金を奪おうと船に乗り込むルパン一味。銭形によって計画は失敗するもののルパンの本当の狙いは別にあった。,コメディ・ギャグアニメ
ワンピース ねじまき島の冒険,愛船を盗まれた麦わらの一味は、からくり仕掛けのねじまき島へ行くことに。そこでは、ダイヤモンドクロックを手にしたトランプ海賊団が島民達を苦しめていた。,国内アクション・アドベンチャー
ハローキティといっしょ ＜しつけアニメ＞,ハローキティとふたごの妹・ミミィといっしょに、身のまわりのことを学ぼう。はみがき、ちゃんとしてる? トイレの使い方は? マナーも楽しく身につけよう。,アニメ
サンリオアニメ世界名作劇場,キティちゃんや仲間たちが演じる世界の名作。｢雪の女王｣、｢桃太郎｣、｢くるみ割り人形｣ほか、キュートで夢いっぱいに描かれた楽しいお話がいっぱい!,アニメ
犬夜叉,"中学生のかごめは、戦国時代へと突然タイムスリップ。そこで出会ったのは、半妖の少年・犬夜叉。不思議な宝玉""四魂の玉""を巡る、かごめと犬夜叉の冒険が始まる。",SF・ファンタジーアニメ
ドラゴンボールＺ たったひとりの最終決戦 フリーザに挑んだＺ戦士孫悟空の父,シリーズ本編の物語をさかのぼり、悟空の誕生に関わる秘話を描く。小さな悟空を残し去った父・バーダックに何が起きたのか? 父と子の目に見えない絆に迫る。,SF・ファンタジーアニメ
劇場版 ワンピース,かつて黄金の大海賊ウーナンは、ある島に宝を埋めたという。この宝を巡り、海賊エルドラゴとルフィ達との激しい争奪戦がスタート。黄金は、麦わらの一味が頂く!,国内アクション・アドベンチャー
ブギーポップは笑わない Boogiepop Phantom,天空に一筋の光が立ち上がった夜、少年少女たちが姿を消す。奇妙なウワサが立ち、不可解な出来事が起こり始めるが、答えを知るのは死神、ブギーポップのみ。,SF・ファンタジーアニメ
ワンピース,モンキー・D・ルフィが、麦わらの一味を率いて偉大なる航路グランドラインを進む! ひとつなぎの大秘宝・ワンピースを発見し、海賊王になるために。,週刊少年ジャンプが原作のアニメ
ルパン三世TVSP#11 愛のダ・カーポ FUJIKO's Unlucky Days,財宝のありかが記されたコロンブス・ファイル。ファイルを不二子が持ち逃げる途中、男の攻撃を受け焼き払ってしまう。財宝は一体誰の手に入るのか?,アクションアニメ
ハローキティといっしょにお勉強,ハローキティと一緒に楽しくお勉強する知育シリーズ! さまざまな新しい発見をしながら物事の仕組みを学び、創造力を使って考える力を楽しく身につけよう。,アニメ
EVANGELION: DEATH (TRUE)²,"セカンドインパクトから15年後、内向的な少年の碇シンジは特務機関ネルフに加わり、謎の敵""使徒""との戦いに身を投じる。戦いの果てに待つ残酷な真実とは...。",国内SF・ファンタジー
カウボーイビバップ,俺達はカウボーイ、指名手配犯を追う賞金稼ぎさ...。未来の人類は地球を捨て、安住の地を求めて太陽系を開拓。今日も治安対策のため奴らが惑星間を駆け巡る。,SF・ファンタジーアニメ
カードキャプターさくら,世界に解き放たれてしまったクロウカード。その封印が解かれる時、世に災いが起こるという。さくらはカードキャプターとなり、魔法を使ってカードを回収する!,SF・ファンタジーアニメ
ルパン三世TVSP#10 炎の記憶～TOKYO CRISIS～,徳川家の財宝の秘密が眠る、2枚のガラス写真乾板を狙うルパン達。獲物を追う中で、ある女性記者との出会いが。彼女の悲しき過去とは? そしてお宝の行方は!?,コメディ・ギャグアニメ
新世紀エヴァンゲリオン 劇場版 Air/まごころを、君に,人為的なサードインパクトに失敗したゼーレ。ゲンドウが人類補完計画を発動する前にエヴァを破壊しようと、ネルフに総攻撃を仕掛ける。,ロボット・サイボーグアニメ
金田一少年の事件簿,お調子者で能天気な高校生、金田一一は、あの名探偵・金田一耕助の孫。鋭い洞察力で難事件の謎を解き明かし、真犯人を暴いてみせる。じっちゃんの名にかけて!,サスペンス・ホラーアニメ
少女革命ウテナ,鳳学園で密かに繰り広げられる、薔薇の花嫁と彼女が持つ力を巡る決闘。両親を亡くした男装の美少女、天上ウテナは、秘密と嘘が渦巻く戦いへと巻きこまれてゆく。,青春・学園アニメ
金田一少年の事件簿 スペシャル,不動高校に通う金田一一は、実は名探偵・金田一耕助の孫。普段はさえない高校生だが、ひとたび事件が起こると鋭い洞察力を発揮し、どんな謎も解き明かしていく。,サスペンス・ホラーアニメ
ルパン三世TVSP#09 ワルサーP38,銭形警部がワルサーP38で撃たれた。ルパンはその銃を持つ者との因縁に決着をつけるため、暗殺集団タランチュラが潜む島へ。だが、殺し屋に捕らえられてしまう。,アクションアニメ
