タイトル,あらすじ,ジャンル
アイアン･ジャイアント,1957年、冷戦時代のアメリカの小さな港町。9歳の少年ホーガースは、森の中で巨大なロボット“アイアン･ジャイアント”と遭遇する。人なつっこく、無邪気なアイアンとホーガースは友達になる。アイアンを守るため、ホーガースは自宅のガレージにかくまうが、政府のエージェントがアイアンを追う。そして…。,"アニメ,SF,キッズ"
ラスト･フェイス,西アフリカの内戦地帯。世界中の貧困国に医療援助の資金を提供する組織に属するレン･ピーターセン (シャーリーズ･セロン) は、救援医師のミゲル･レオン (ハビエル･バルデム) と出会う。自らの危険を顧みず、軍事的な暴動の被害者となった患者を助けようとするミゲルの姿に感銘を受けたレンは、彼に惹かれ、2人は過酷な状況下で互いを支え合っていた。しかし、ミゲルのある裏切りが、2人の関係を切り裂き…。,"ヒューマンドラマ,サスペンス／ミステリー"
ロッキー･ザ･ファイナル,日本国内、認知度100%のロッキーシリーズが帰還! NEVER GIVE UP! 30年前に世界ヘビー級王者アポロ･クリードと互角以上の大熱戦を繰り広げて以来、ボクシング界の栄光の階段をのぼりつめたロッキー･バルボア。しかしリングを去った彼は、愛する妻エイドリアンに先立たれ、地元フィラデルフィアで経営するイタリアン･レストランで、客の求めに応じて現役時代の昔話を語って聞かせる日々を送っていた。息子のロバートは有名人である父に引け目を感じて家を飛び出し、彼と顔を合わせようとはしない。エイドリアンの命日に墓参りをしたロッキーは、自らの孤独を痛感せずにいられなかった。 ロッキーは心の喪失感をぬぐうため、再びボクシングを始めることを決意する。彼は今もなお胸の奥底に情熱が燻っていることを感じ、プロ･ボクサーに復帰したものの、大きな野望を抱いているわけではなかった。しかし、ある番組がきっかけで、現役ヘビー級チャンピオン、ディクソンとのエキシビジョン･マッチが企画され、ロッキーは最後の夢に向かって猛トレーニングを始めた。そして、遂に大観衆が詰め掛けたラスベガスのリングに上がっていく…。,"ヒューマンドラマ,スポーツ,恋愛"
怪物はささやく,12歳の少年コナーは、難しい病を抱えた母親と2人で裏窓から教会の墓地がみえる家に住み、毎夜悪夢にうなされていた。ある夜、コナーのもとに怪物がやって来て告げる。「今から、私はお前に3つの【真実の物語】を話す。4つ目の物語は、お前が話せ。」しかも怪物は、コナーが隠している“真実”を語れと迫るのだ。頑なに拒むコナー。しかしコナーの抵抗など意にも介さず、その日を境に夜ごと怪物は現れ物語の幕が上がる―。,"ファンタジー,ヒューマンドラマ"
ハードコア,準備はいいか? あなたは今から、愛する人を取り戻すためこの“クレイジーな世界”に放り込まれる。妻であり、絶命したあなたの身体をサイボーグ化し蘇生させた一流の研究者である美女･エステルが、エイカンという奇妙な能力を使うヤツに誘拐されてしまった。道先案内人は変幻自在のジミー。あなたの身体を狙うエイカン率いる傭兵たちを倒し、エステルと“記憶の謎”を取り戻すことが出来れば、あなたの存在する目的と真実を知ることができるかもしれない。幸運を祈る。,"SF,アクション,パニック"
ザ･メキシカン,組織の下で働いているジュリーは恋人のサマンサと喧嘩ばかり。ある日、ジュリーが“仕事”の準備に家に戻ると荷物ごと追い出されてしまう。仕方なくそのまま、組織に命じられたとある拳銃を求めてメキシコへ。が、その拳銃とは呪いがかかっているという伝説の“メキシカン”だった。一方、サマンサはラスベガスへ向かう途中で助けてもらった男と親しくなるが、彼の目当てもまた“メキシカン”だった…。,"アクション,恋愛,コメディ"
特捜部Q 檻の中の女,殺人課の敏腕刑事カール･マーク。厄介者扱いされて新部署「特捜部Q」への転属を命じられた彼は、助手のアサドと共に未解決となっている美人議員ミレーデ･ルンゴー失踪事件の捜査に着手する。5年前、弟との船旅の途中で行方不明となったミレーデは、当時の捜査で“船上からの投身自殺”と結論づけられていた。だが、次々と新事実明らかになっていくに連れ、カールは彼女が何らか事件に巻き込まれたと確信する。,サスペンス／ミステリー
ム－ラン,遊牧部族との領土争いが激化する魏国。徴兵令を受けた病弱な父を案じた娘ムーランは、鎧甲冑を身にまとって男になりすまし、父に黙って身代わりとして戦地へと赴く。女である身が発覚しそうになった時、事情を察した上官ウェンタイに救われ、二人は深い絆で結ばれていった。しかし、終わらぬ戦いで多くの仲間を失い、悲嘆に暮れる日々。戦意を失いかけたムーランにさらなる悲痛な報せが…。ついに、己の愛と命を賭けたファイナル･バトルへと身を投じていく─!!,"アクション,恋愛,時代劇"
ロイヤル･ナイト 英国王女の秘密の外出,6年間続いた戦争が正式に終わる国を挙げてのお祝いの夜。エリザベス王女と妹のマーガレットは生まれて初めてお忍びでバッキンガム宮殿をあとにする。付き添いが目を離した隙に、シャンパンに勢いづいてバスに飛びのったマーガレットを追いかけて街にでたエリザベス。そして人生を変える一夜が幕を開ける―。,"恋愛,ヒューマンドラマ"
ラム･ダイアリー,1960年、南米プエルトリコのサンフアンに、ジャーナリストのポール･ケンプが降りたった。ニューヨークの喧騒に疲れ果て、神経過敏気味の編集長ロッターマンが運営する地元新聞「サンフアン･スター」紙に記事を書くため、カリブ海に浮かぶ島プエルトリコへとやってきたのだ。同じ新聞社のジャーナリスト仲間に囲まれながら、ラム酒を浴びるように飲むという島の生活にすぐに馴染んだケンプは、ある日アメリカ人企業家のひとりであるサンダーソンと出会うが…。,"ヒューマンドラマ,恋愛,コメディ"
キッズ･イン･ラブ,きみに出会って、人生がカラフルに輝く―。大学入学をひかえた夏休み。ジャックの予定といえば、親が勝手に決めたインターンシップがあるくらい。いつも「人生にはもっと“何か”があってもいいはず!」と口にしながらも自ら行動はせず、冴えない日々を過ごしていた。しかし、そんなある日、美しいイブリンと出会ったことで、ジャックの人生は一変して輝きだす―自由奔放なイブリンと、ハイクラスな仲間と過ごす刺激的で充実した日々。この華やかな世界が、ずっと続くと思っていた…。,"青春,恋愛,ヒューマンドラマ"
スター･トレック4／故郷への長い道,「スター･トレック」映画化第4作は、タイムスリップがテーマ。地球に接近する謎の物体の声を解くカギは、23世紀には存在しない“鯨”だった。カークたちは鯨を求めて20世紀の地球へタイムスリップする…。,"アドベンチャー,SF,アクション"
7ミニッツ,昔からの友人であるサム (ミッチェル)、マイク (リッター)、オーウェン (ホルツ) の3人は、ドラッグディーラーに借金をしてしまった事がきっかけで銀行強盗をしなければならなくなる。「7分以内に侵入し金を奪い脱出する」、初めは簡単なミッションに見えたものの、事態はすぐに生死に関わる危険な状況へと変わっていく…。果たして、危険な強盗の行く末とは!?,アクション
裸足の季節,イスタンブールから1000km離れたトルコの小さな村に住む、美しい5人姉妹の末っ子ラーレは13歳。10年前に両親を事故で亡くし、いまは祖母の家で叔父とともに暮らしている。学校生活を謳歌していた姉妹たちは、ある日、古い慣習と封建的な思想のもと一切の外出を禁じられてしまう。電話を隠され扉には鍵がかけられ「カゴの鳥」となった彼女たちは、自由を取り戻すべく奮闘するが、一人また一人と祖母たちが決めた相手と結婚させられていく。そんななか、ラーレは秘かにある計画をたてる…。,"ヒューマンドラマ,青春"
ロッキー3,強敵〈殺人マシーン･クラバー〉出現! 闘争本能を、失った栄光をロッキーは取り戻せるのか? 世界チャンプとなり、一家水入らずの生活を送っていたロッキーは、強敵黒人ボクサーの挑戦を受けることに。しかしハングリー精神を忘れたロッキーは、あえなく敗れ去る。再起をかけたロッキーにかつての宿敵アポロがトレーナーとして名乗りをあげる…。,"ヒューマンドラマ,スポーツ,恋愛"
テルマ&ルイーズ,2人の友人、専業主婦として退屈な日々を送るテルマと、気の強いウェイトレスのルイーズが、日常から逃れるために、1966年型のサンダーバードに乗り、山へと週末の釣り旅行に出かける。ところが、憂さ晴らししようと、途中で立ち寄ったバーで、テルマがレイプされそうになる。するとルイーズが38口径で男に発砲。何が何だか分からぬまま、2人は逃亡するはめに。全国指名手配犯となった2人は、決意を新たに、無謀な行動に。,"ヒューマンドラマ,青春"
アイアン･スカイ ディレクターズカット版,「スター･トレック」のパロディ作品「スターレック 皇帝の侵略」で世界中のSFファンにその名を知らしめたフィンランドの奇才ティモ･ヴオレンソラ監督が、今度はナチスの残党が月の裏側で地球侵略の準備を進めていた、との奇想天外な設定で描く本格おバカSF。2018年、再選を目指すアメリカ大統領の人気取り政策によって月面へ送られた黒人モデルのワシントンは、月の裏側にナチスの残党が築いた第四帝国の秘密基地を目の当たりにするが…。,"アクション,コメディ,SF"
スター･トレックVI／未知の世界,長年戦争を続けてきた惑星連邦とクリンゴン帝国が和平交渉のテーブルにつこうとしていた。しかしそんな時、クリンゴン帝国の船が大破する。攻撃を仕掛けたのはなんとエンタープライズ号。両者の全面戦争にも発展しかねない緊迫の事態が訪れた。,"アドベンチャー,SF,アクション"
グランドピアノ ～狙われた黒鍵～,若き天才ピアニスト、トムは、ある出来事をきっかけにステージ恐怖症に陥っていたが、人気女優である妻エマに背中を押され、5年ぶりに表舞台に立った。恩師パトリック･ゴーダルーの追悼コンサートに復帰したトムには、遺品である至高のグランドピアノ、ベーゼンドルファー“インペリアル”が用意されていた。ついにコンサートが開始され、トムは演奏に集中するが、譜面には「一音でも間違えるとお前を殺す」という謎のメッセージが書かれ、姿なきスナイパーの銃口が自分に向けられていることに気が付く…。,サスペンス／ミステリー
スター･トレック3／ミスター･スポックを探せ!,カーク提督はカーンを倒し、ジェネシス星を生み出したが、それは空しい勝利でしかなかった。スポックは死に、マッコイはなぜか正気を失ったのである。ところがスポックの父サレクが現れて、驚くべき事実を明らかにする。,"アドベンチャー,SF,アクション"
ロッキー2,宿敵･アポロとの再戦! ロッキーは再び愛と人生を賭けたリングに立つ! ヘビー級タイトルマッチで辛くも王座を守ったとはいえその戦いぶりに非難が集中したアポロに対し、敗れたりとはいえフルラウンドに感動のファイトを展開したロッキーには熱烈な賛辞が集中。巷に流布するアポロ再起不能の噂を打ち消そうと、アポロ陣営は再度ロッキーとの再戦を宣言するが…。,"ヒューマンドラマ,スポーツ,恋愛"
ミレニアム2 火と戯れる女,世界中で6500万部を売り上げた衝撃の大ベストセラーシリーズの第2弾。中毒者続出の極上クライムエンターテインメント! 背中にドラゴンのタトゥーを入れた女性ハッカー、リスベットにたたきのめされた後見人ビュルマンは、復讐を誓っていた。ビュルマンはリスベットの過去を徹底的に洗い、彼女を心の底から憎む人物を探し出した。彼はその人物と連絡を取り、リスベットを拉致する計画が動きはじめる。その頃、月刊誌『ミレニアム』の発行責任者ミカエルらは、重大な決断をしていた。,サスペンス／ミステリー
インビジブル･ゲスト 悪魔の証明,実業家のドリアは、不倫相手ローラの殺害容疑で起訴されていた。そんな中、凄腕弁護人のグッドマンがドリアを訪ねてくる。法廷で審理が開始される3時間後までに反証の準備をしなければならない2人は、事件の再検証を開始する―。ドリアの家から300キロも離れたホテルの一室でローラは殺された。警察が踏み込んだ時に、ローラの死体を除いて部屋にいたのはドリアだけだった。ドリアは無罪を主張しているが、部屋は完全な密室で状況証拠は絶対不利。さらに、ドリアにはグッドマンに告げていない秘密があった。それでもグッドマンは、ドリアを無罪に出来ると言うが…。,サスペンス／ミステリー
乱,戦国を生き抜いた猛将が、ある日突然引退宣言をし、自分の地位や財産を3人の息子に譲るところから物語は始まる。本来ならば息子達は立派に父の意思を継ぎ、父親も安泰のうちに老後の隠居生活を送れるのであろうが、そううまく物事が運ばないのが世のならい。やがて息子達は父親をないがしろにして血で血を洗う肉親同士の争いへと発展していく…。,"ヒューマンドラマ,時代劇"
ロッキー5／最後のドラマ,引退を決意し、再出発したフィラデルフィアの英雄ロッキー。今、愛と勇気のゴングが鳴り響く! ソ連でドラゴに勝利したものの、ロッキーは脳障害が発覚して引退を決意、トレーナーへ転身する。そんな時、彼の前に凄い新人ボクサーが現れた。,"ヒューマンドラマ,スポーツ,恋愛"
Mr.ホームズ 名探偵最後の事件,名探偵シャーロック･ホームズが挑むのは、人生最大の失敗から引退に追い込まれた未解決事件。10歳の少年を新たな助手に迎え、今最後の推理が始まる!,"サスペンス／ミステリー,ヒューマンドラマ"
スター･トレック5／新たなる未知へ,エンタープライズ号のクルーは、銀河の中立地帯にある惑星ニムバスIIIに向かう。そこで人質解放の交渉に当たるのだが、なんと犯人はスポックの身内だった。,"アドベンチャー,SF,アクション"
キャノンボール,東海岸を出発し、西海岸のカリフォルニアまで5000キロを走破する公道レース“キャノンボール”。ルール無用、妨害自由。型破り協議の参加者は、救急車を調達して警察の追跡をかわすタフガイJJ、007気取りの富豪シーモア、ハイテク搭載車を操る東洋人コンビら、最高にクレイジーなやつら。混戦必至のレースを頭脳と戦略、幸運で見事に制して、勝者の栄光をつかむのは誰だ?,"アクション,コメディ"
ブリザード 凍える秘密,1988年、キャット (ウッドリー) が17歳のころ、母親のイヴ (グリーン) が何の知らせも無く、ある日突然失踪する。思春期のキャットはその事実を意図的に意識しないように過ごしてきたが、大学に入学し、恋人に出会い、成長していくにつれ、幼い頃の母親との記憶を思い返すようになる。大好きだった母親はなぜ家を去ったのか。不可解な言動が頭に甦る。そして大学の春休みに久々に実家に戻ると、母親の捜査を担当していた警察から、母親が何者かに殺害されたと知らされる…。,サスペンス／ミステリー
チキンとプラム ～あるバイオリン弾き、最後の夢～,世界に衝撃と感動を与えた『ペルセポリス』の監督が手掛ける、忘れられない恋を知る全ての大人に贈る、感動のラブストーリー。最期の8日間で、人生を振り返るナセル･アリ。空っぽな音だと叱られた修業時代。絶大な人気を得た黄金時代。誤った結婚、怖くて愛しい母の死。大好きなソフィア･ローレンとチキンのプラム煮。そして今も胸を引き裂くのは、叶わなかった恋。やがて明かされる、聴く者すべてが涙する奇跡の音色の秘密とは―?,"恋愛,コメディ,ヒューマンドラマ"
イエスタデイ,ビートルズが世界中に大旋風を巻き起こしていた1960年代半ば。オスロに住む高校生4人組は“スネイファス”というバンドを結成し、自分たちもビートルズのように有名になりたいと夢見ていた。そんなある日、ベース担当でポール･マッカートニーに心酔するキムは、見ず知らずの女の子ニーナと映画館で出会う。別れ際、ニーナに突然キスをされたキムは、彼女がどこの誰かもわからないまま、想いだけを募らせていくのだった。やがて、キムのクラスにセシリアという名の転校生が。その美少女のピンチをキムが救ったことで、2人の距離は縮んでゆき…。,"青春,音楽／ライブ,恋愛"
LOOP／ループ －時に囚われた男－,麻薬の密売で生計を立てる男･アダム (サーラズ) は、仕事から足を洗うため、取引の大金を奪って恋人のアンナ (マルティノヴィチ) と共に、ボスのデジュー (アンゲル) から逃亡を図ろうとする。しかし、その計画の最中に姿を消したアンナを追って街に飛び出すと、傷だらけで様子のおかしい彼女と街角でばったり出会い、その後、暴走した車がアンナをひき殺してしまう。アンナが手にしていた1本のビデオテープと共にその場を逃げ出したアダムは、自分の部屋に戻りビデオを再生。するとそこには、自分がボスに射殺される現場が捉えられていた…。,"SF,サスペンス／ミステリー"
ノー･エスケープ 自由への国境,家族に会うために、メキシコからアメリカへの不法入国を試みるモイセス。車で国境を越えようとしていたが、急なエンジントラブルによりモイセスを含む15人の移民たちは荒れ果てた砂漠を徒歩で越えることになってしまう。有刺鉄線がひかれた国境をくぐってアメリカ国内に侵入する不法移民たち。見つかることを警戒しながらも、順調に都市部へと向かっていた。しかし、歩みの差からふたつのグループに分かれてしまう。遅れをとった移民たちが待ってくれるように必死で叫んだその時、突然、銃弾が襲いかかる。襲撃者は見えず、正体は不明。見つかる前にと辛くも逃げ出したモイセスたちだが、そこは身を隠す場所もない摂氏50度の砂漠。水なし。武器なし。通信手段も逃げ場もなし。,"サスペンス／ミステリー,パニック"
セブン･サイコパス,新作『セブン･サイコパス』の執筆が進まずに酒に溺れる映画脚本家のマーティ。そんな彼を見かねた親友のビリーは、脚本のネタ集めのためにと勝手に「イカれた奴、募集!」という新聞広告を出してしまう。するとマーティの前には、ウサギを抱えた心優しき殺人鬼、現場にダイヤのエースを残すヒットマン、何よりも犬を愛するマフィアのボスら次から次へとおかしな連中が現れる。こうして広告のおかげか否か、マーティは彼らイカれた連中が巻き起こす思いもよらない事件に巻き込まれていく!,"コメディ,サスペンス／ミステリー,アクション"
ハイ･ライズ,本作は96年にデヴィッド･クローネンバーグ監督によって映画化された「クラッシュ」、「コンクリート･アイランド」に連なる“テクノロジー三部作”の中の一作で、上層階に行くにつれ住民が富裕層になっていく40階建ての高層マンションで巻き起こる、現代社会におけるヒエラルキーの崩壊を描いている。マーベル映画『アベンジャーズ』『マイティ･ソー』シリーズのロキ役で大ブレイクしたトム･ヒドルストンが主演を務める他、『ホビット』シリーズで人気を博すルーク･エヴァンス、『バットマンvsスーパーマン ジャスティスの誕生』のジェレミー･アイアンズ、『アメリカン･スナイパー』のシエナ･ミラーなど英国を代表する人気スターが揃い、退廃的で官能的、ミステリアスで不条理、そして、どうしようもなく美しく上質なドラマに仕上がった。,"サスペンス／ミステリー,SF"
特捜部Q キジ殺し,「特捜部Q」のカールとアサド、そしてローセの3人に託された20年前の事件ファイル。それは名門寄宿舎学校の近くでおきた兄妹惨殺事件だったが、犯人は事件発生直後に逮捕され“終わった”案件。だが、あらためてファイルを見返すと、特定の人物に対する捜査が不十分なまま打ち切られ、事件の夜に通報してきた少女キミーが失踪するなど不審な点も多い。カールとアサドは事件の鍵を握るキミーの捜索を開始するが…。,サスペンス／ミステリー
英雄の証明,「シンドラーのリスト」「イングリッシュ･ペイシェント」の名優レイフ･ファインズが、シェイクスピア悲劇『コリオレイナス』を原作に、自ら主演も務めて記念すべき監督デビューを飾った異色のポリティカル･ヒューマン･ドラマ。時代を架空の政治状況にある現代に置き換え、国家のために命を懸けて戦場に赴く愚直な男が、浅薄で移り気な民衆とそれを煽る政治家に翻弄されて辿る悲劇の運命を、迫力の戦闘シーンとともにドラマティックに描く。,"アクション,ヒューマンドラマ,サスペンス／ミステリー"
92歳のパリジェンヌ,子供や孫にも恵まれ、穏やかな老後を過ごすマドレーヌ。まだまだ元気な彼女だが、92歳の誕生日のお祝いに駆けつけた家族に対して驚くべき発表をする。気力があるうちに、自らの手で人生に幕を下ろすというのだ。絶対反対を唱える家族たちと、揺るがないマドレーヌの意志。しかし限られた日々を共に過ごす中で、次第に家族たちはマドレーヌの想い、そして彼女の生きてきた人生と触れ合っていき―。,ヒューマンドラマ
エイリアン：スカイコマンド,20XX年、北米大陸に飛来した3つの隕石から巨大生物が出現した。猛スピードで空を飛び、エネルギー波で地上を焼き尽くす3体の怪獣。アメリカは瞬く間に、全滅の危機を迎える。捕捉不可能な怪物に、従来の兵器では手も足も出ない。唯一の希望は、特殊ヘルメットを装着し脳波で戦闘機を操る“ニューロ･ジェット･システム”だった。システム開発者のエマが率いるのは、身体に障害を持つ異色のパイロット･チーム。大空の戦いを征し、生き残るのは人類か? エイリアンか?,"アクション,SF"
プレシャス,1987年ニューヨーク、ハーレム。体形にコンプレックスを持ち、家庭では父母から虐待を受けて育ち、文字の読み書きも出来ない16歳の少女、クレアリース“プレシャス”ジョーンズ。誰からも愛されず、悲惨で不遇な日々を過ごす中、フリースクールに通い始めた事をきっかけに、初めて「学ぶことの喜び」を知り、「幸せになろう」と勇気ある一歩を踏み出そうとする。サンダンス映画祭でグランプリを受賞、アカデミー賞で脚色賞、助演女優賞を受賞した愛と希望と感動の物語。,ヒューマンドラマ
11ミリオン･ジョブ,過去の逮捕歴がきっかけで、警察学校への試験をうけられなかったクリス (リアム･ヘムズワース) は、家族のためにエンパイア･ステート警備会社で働き始める。ある日、現金輸送中に強盗に遭い、同僚が撃たれて死んでしまう。会社に不信感を抱きはじめるクリス。そこへ親友のエディから地元のマフィアが考えた倉庫の中の現金を盗み出すという現金強盗の企てに巻き込まれてしまう。ニューヨーク警察署の刑事、ジェームズ･ランソン (ドウェイン･ジョンソン) はこの強盗事件の犯人をクリスだと怪しむが…。,"サスペンス／ミステリー,ヒューマンドラマ"
俺たちニュースキャスター 史上最低!? の視聴率バトルinニューヨーク,ロン･バーガンディと仲間たちが戻ってきた! 今回は新たな職場を見つけ、新たなライバルに立ち向かう。“今年一番面白い映画”と大絶賛のハチャメチャコメディ! リチャード･ローパー、CHICAGO SUN TIMES,コメディ
ミレニアム3 眠れる女と狂卓の騎士,一度観始めたらやめられない! 北欧から届いた極上のクライムエンターテイメントシリーズ完結編。宿敵ザラチェンコと対決したリスベットは、相手に重傷を負わせたものの、自らも傷つき、瀕死の状態に陥ってしまった。現場に駆けつけたミカエルの手配で、リスベットとザラチェンコは病院に送られ、一命を取りとめる。だが、彼女を拉致した金髪の巨人は逃走してしまう。この事件は、公安警察の特別分析班の元班長グルベリに衝撃を与えた―。今世紀最大のミステリー『ミレニアム』三部作、ついに完結!,サスペンス／ミステリー
デッドマン･ウォーキング,ショーン・ペン×スーザン・サランドン主演。彼女の「透明な愛」は、彼の「凶暴な魂」を救済した。全世界で惜しみない賞賛を受けた衝撃の感動作。,ヒューマンドラマ
ブレンダンとケルズの秘密,9世紀のアイルランド。バイキングの襲来にそなえ、ケルズ修道院を囲む塀を作る大規模な工事が続く中、バイキングに襲われたスコットランドのアイオナ島から、高名な修道士エイダンが、1冊の「聖なる書」を携え逃れてくる。その本には隠された知恵と力が秘められていた。ケルズの書を完成させるためブレンダンは、インクの原料である、ある植物の実を探しに、危険を冒して不思議な生き物が隠れ棲む魔法の森へ出かける。森でオオカミの妖精アシュリンの助けを得て、ブレンダンは無事に実を持ち帰るが、バイキングの襲来がケルズにも迫っていた。ブレンダンは本の力によって、闇を打ち砕き、光を取り戻すことができるのか?,"アニメ,アドベンチャー,キッズ"
ヒトラーへの285枚の葉書,1940年6月。ナチス･ドイツの戦勝ムードに沸くベルリンで、質素に暮らす労働者階級の夫婦オットーとアンナ。ある日、夫妻のもとに最愛のひとり息子ハンスが戦死したという悲しい知らせが届く。突如、心のよりどころを失い、失意に暮れる二人だったが、やがてオットーはペンを握り、ヒトラー政権を批判するメッセージを葉書に記しはじめた。彼は、何かに取り憑かれたかのように黙々と葉書にペンを走らせる。そして、それらを街中の公共の場にそっと置いては立ち去ることを始めた。そんな夫の行動を理解した妻のアンナも、積極的に手伝うようになっていく。ささやかながらも命懸けの抵抗運動に、次第に魂が解放されていくのを感じる二人。だが、ゲシュタポ (秘密警察) による捜査の手が徐々に夫婦に迫りつつあった―。,"ヒューマンドラマ,戦争"
ニューヨーク･バーグドルフ 魔法のデパート,ジョン･レノンなどの世界中のセレブを魅了し、ジャクリーン･ケネディをはじめ歴代大統領夫人をも虜にし、『セックス･アンド･ザ･シティ』にも登場するNY5番街にある〈バーグドルフ･グッドマン〉。その存在自体が“モダンアート”であり“ファッション業界のアイコン”と称される、創業113年を迎えた老舗デパートが、いかにして世界の最先端を走りながらも革新を続けてきたのか。数々の有名デザイナーが語るその魅力と、デパートを支え守り続けるスタッフたちの情熱、ドラマティックなストーリーが織りなす感動ドキュメンタリー。,ドキュメンタリー
リュミエール!,スピルバーグもルーカスも、ジェームズ･キャメロンも黒澤も小津も、映画はここから始まった―。デジタルで蘇る〈映画のはじまり〉。リュミエール兄弟が世界で初めて上映した映画の撮影秘話、そして今も変わらない生き生きとした人々の姿、人間賛歌にあふれる映画の原点がここに!,ドキュメンタリー
メトロマニラ 世界で最も危険な街,フィリピン。貧しい田舎暮らしに行き詰ったオスカーは、妻と幼い子供の4人で、首都マニラを目指す。だが着いた途端有り金をだまし取られ、たちまちスラム街をさまようことに。やがてオスカーは偶然の出会いから、現金輸送車の警備員の仕事にありつく。上司のオングは親切な男で、オスカーに仕事を仕込み、アパートまで貸してくれた。だがオングの狙いは、会社から大金を奪うため、オスカーを仲間に引き入れる事だった。追いつめられ逃げ場を失ったオスカーは、家族を護るため、ある計画を実行するが…。,"ヒューマンドラマ,アクション,サスペンス／ミステリー"
グランドフィナーレ,世界的にその名を知られる、英国人音楽家フレッド。今では作曲も指揮も引退し、ハリウッドスターやセレブが宿泊するアルプスの高級ホテルで優雅なバカンスを送っている。長年の親友で映画監督のミックも一緒だが、現役にこだわり続ける彼は、若いスタッフたちと新作の構想に没頭中だ。そんな中、英国女王から出演依頼が舞い込むが、なぜか頑なに断るフレッド。その理由は、娘のレナにも隠している、妻とのある秘密にあった―。,"ヒューマンドラマ,音楽／ライブ"
アンコール!!,ロンドン。無口で気難しいアーサーは、隣近所でも有名なガンコ者で、息子ともギクシャク。唯一、笑顔を見せるのは、最愛の妻マリオンにだけ。病弱だが陽気なマリオンの趣味は、ロックやポップに挑戦するちょっと変わった合唱団“年金ズ”で歌うこと。ある日、“年金ズ”が国際コンクールのオーディションに出場することに! しかし、喜ぶマリオンに、なんとガンが再発したという告知が。,"コメディ,ヒューマンドラマ,音楽／ライブ"
トップ･ファイブ,クリス･ロックが脚本･監督･主演を務める「トップ･ファイブ」の舞台はニューヨーク。コメディアンから映画スターへと転身を遂げたアンドレ･アレンは、一人のジャーナリストとの思いがけない出会いをきっかけに、自分が置き去りにしてきたコメディアンとしてのキャリア―そして自分の過去―と向き合わざるをえなくなる。,コメディ
バトルクリーク･ブロー,シカゴで食堂を経営する中国人一家の次男坊ジェリーは、武術が得意な熱血青年。その豪腕に目を付けたマフィアの首領ドミニチは、テキサスのバトルクリークで開かれる格闘技選手権に彼をエントリーさせ、敵対するギャング組織の用心棒と闘わせようと画策する。ドミニチによって兄嫁を人質に取られたジェリーは、仕方なく選手権に出場、次々と強豪を倒していく。しかし、決勝戦の直前、叔父のハーバートが敵の一味に誘拐されてしまい…。,"アクション,コメディ"
ワン チャンス,イギリスの片田舎に産まれ、子どもの頃から、典型的なイジメられっ子。大人になっても、冴えないままのケータイ販売員。彼の名はポール･ポッツ。シャイで謙虚、自信の欠片も持てずにきた彼の、誰にも言えない夢は「オペラ歌手」になること―。つまずく度に、歌声を輝かせ立ち上がった、冴えなすぎる男の世紀の逆転劇! その歌声で世界1億2千万人を涙させた、まさかの男! オペラ歌手ポール･ポッツの勇気と幸せをくれる感動の実話!,"ヒューマンドラマ,コメディ,音楽／ライブ"
ミッション･ワイルド,19世紀アメリカ、ネブラスカ。小さな集落で暮らす独身のメアリー (ヒラリー･スワンク) は、病で豹変した3人の女性をアイオワの教会まで連れて行く役目《ホームズマン》に立候補する。そしてその直後、彼女は木に吊るされた悪党ブリッグス (トミー･リー･ジョーンズ) に遭遇、処刑寸前だった彼を、旅に同行することを条件に助け出した。こうして始まった、孤独な女と大悪党の、約400マイル (650km) の長い旅。しかし、彼らを待ち受けるのは、地獄と形容され生きて帰ることもままならない最も危険な荒野だった! 過酷な気候、狂暴な先住民、そして命を狙う盗賊たち…。2人は無事にこの任務を全うすることができるのか!?,"ヒューマンドラマ,西部劇"
イヤー･オブ･ザ･ドラゴン,ニューヨーク市警察の刑事スタンリー･ホワイトは、犯罪の頻発するチャイナタウンの取り締まりを開始する。強引な摘発でチャイニーズ･マフィア全体を潰そうとするスタンリーに対し、マフィアのボス達は警察の上層部と暗黙の協定を結び、警察内部でも彼を孤立させる。一方、チャイニーズ･マフィア新世代のボス、ジョーイ･タイはイタリアン･マフィアや身内の旧体制派、かつての取引相手を容赦無く粛清し勢力を拡大していく。かつてない緊張が高まる中、タフな刑事と若きボス、この二人の対決が今始まろうとしていた…。,"ヒューマンドラマ,アクション"
第九軍団のワシ,"ローマ最強の第九軍団の兵士5,000名が、名誉のシンボル【黄金のワシ】を掲げて敵地に進攻するも、突如として行方不明になる。逃亡か? 死亡か? 真相は歴史の謎と化してしまう。父が指揮した第九軍団の消息をつかんで名誉を回復するため、軍人となった息子マーカスは敵地への侵入捜索を決意する。危険を承知の行く手には、想像を超える真実が待ち受けていた…!","ヒューマンドラマ,史劇,サスペンス／ミステリー"
恐怖による支配 ISIS (イスラム国) の真実,イスラム国の起源、目的、そして彼らの衝撃的で暴力的な策略が21世紀の武力闘争にもたらした影響を探る。,ドキュメンタリー
永遠の反逆児 ヴィヴィアン･ウエストウッド,日本でもお馴染みのファッション･デザイナー、ヴィヴィアン･ウエストウッド。彼女の70歳の誕生日 (2011年4月) を記念して制作されたドキュメンタリー。70歳の今も、常に革命的旋風を巻き起こし、ファンは彼女に魅了され続けている。その力強さに反して、彼女の素顔はとてもチャーミングで自由奔放!,ドキュメンタリー
