タイトル,あらすじ,ジャンル
マスク,カートゥーンさながらのコミカルな身振り。いなせに着こなすド派手なスーツ。そしてどうにも止まらないハジけっぷり。天才コメディ俳優ジム･キャリーの真骨頂。銀行員スタンリー･イプキスは引っ込み思案。そんな彼が見つけた魔法の『マスク』。一度被れば、ヒーローへと大変身。しかし…。,コメディ
スポンジ･ボブ／スクエアパンツ ザ･ムービー,あの海の底の陽気な人気者、冒険大好きスポンジ･ボブがついに映画デビューだ! スポンジ･ボブや親友のパトリック、海底都市ビキニタウンの仲間と一緒に、ハラハラドキドキ、ハプニングだらけの冒険に出かけよう!,"アニメ,コメディ,キッズ"
プロメテウス,科学者エリザベスが、地球上の時代も場所も異なる複数の古代遺跡から共通のサインを発見した。それを知的生命体からの〈招待状〉と分析した彼女は、巨大企業ウェイランド社が出資した宇宙船プロメテウス号で地球を旅立つ。2年以上の航海を経て未知の惑星にたどり着いたエリザベスは、冷徹な女性監督官ヴィッカーズ、精巧なアンドロイドのデヴィッドらとともに砂漠の大地にそびえ立つ遺跡のような建造物の調査を開始する。やがて遺跡の奥に足を踏み入れたエリザベスは、地球上の科学の常識では計り知れない驚愕の真実を目の当たりにするのだった…。,"SF,サスペンス／ミステリー,アクション"
海底47m,メキシコで休暇を過ごすリサとケイト姉妹は現地の男友達から、海に沈めた檻の中から野生のサメを鑑賞する“シャークケージダイビング”に誘われる。臆病なリサは尻込みするが、好奇心旺盛なケイトに強引に押し切られ、挑戦することに。姉妹を載せた檻はゆっくりと水深5mの海へと降りていく。初めて間近で見るサメの迫力に大興奮の二人だったが、悲劇は突然訪れる。ワイヤーが切れ、檻が水深47mの海底まで落下してしまう。そこは、無線も届かない海の底。助けを呼ぶ声は届かない。急浮上すれば潜水病で意識をうしなってしまい、海中に留まればサメの餌食になること必至。ボンベに残された酸素はあと僅か。全てが極限状態の海底での脱出劇に、生還という結末はあるのだろうか!?,"ホラー,パニック"
死霊館,『ソウ』のジェームズ･ワン監督作。人間の耐え得る限界を超えた凶暴な恐怖が、今、解き放たれる―! 40年もの間、関係者全員が口を閉ざし続けた戦慄の〈実話〉。,ホラー
バトルシップ,ピーター･バーグが製作と監督を務める『バトルシップ』は、海、空、陸を網羅し、地球の生き残りを懸け、総力をあげて遥かに優れた軍力と戦う壮大なアクションアドベンチャー作品。ハズブロ社の有名な海軍戦闘ゲームに基づく本格アクション!,"アクション,SF"
デュー･デート ～出産まであと5日! 史上最悪のアメリカ横断～,待望の初ベビーの誕生を5日後に控えたピーターは、仕事先から自宅へと急ぐため飛行機に乗りこんだ。ところが、ミョーな男のせいでテロリストと疑われ、搭乗拒否に! サイフも身分証も空の上、キレる寸前のピーターの前に、例の男が車で現れ大陸横断を持ちかける。彼の名前はイーサン。実は地球上のあらゆるトラブルを奇跡のごとく引き寄せる、最凶のマイナスオーラ男だった!,"コメディ,ヒューマンドラマ"
オブリビオン,2077年、エイリアンの攻撃を受け、地球は全壊。生き残った人類は、他の惑星への移住を果たすが、ジャック (トム･クルーズ) は荒廃した地球に残り、パトロール機バブルシップをかり、高度1000メートルの上空から地球を監視している。ある日、ジャックは墜落した宇宙船で眠る美女ジュリア (オルガ･キュレンコ) を発見する。目を覚ました彼女は、なぜか逢ったことのないジャックの名を口にした。ジュリアは何者なのか? この出会いで地球の運命が大きく動き始める!,"アクション,SF,サスペンス／ミステリー"
ミッション：インポッシブル／ゴースト･プロトコル,計画も、サポートも、選択も、ない。ロシアのクレムリンが爆破されIMFはその犯行に関与したとみなされる。 容疑を晴らすべくエージェントのイーサン･ハント (トム･クルーズ) と彼のチーム (「アベンジャーズ」のジェレミー･レナー、「スター･トレック」のサイモン･ペッグ) は密かに行動を開始。彼らが突き止めたのは核戦争をめぐる陰謀だった。世界を救うべく、ありとあらゆるハイテク機器を駆使し、最高に縦横で危険なミッションに命がけで挑む!,"アクション,サスペンス／ミステリー"
127時間,誰にでも、人生のターニング･ポイントは必ずやってくる。アーロン･ラルストンの場合、それは自分の庭のように慣れ親しんだユタ州、ブルー･ジョン･キャニオンでの出来事だった。金曜の夜、いつものように一人で、ロッククライミングを楽しむため、ブルー･ジョン･キャニオンに向け出発した。だが、運命の瞬間が彼に襲いかかる。落石に右腕を挟まれ、谷底から一歩も動けなくなったのだ。助けを求める叫び声は無人の荒野にむなしく呑み込まれ、持てる知恵と経験を総動員して岩を撤去しようとするが、ピクリとも動かない。死を目前にして初めて自分の人生と向き合うアーロン。衰弱した身体を引き裂くように襲いかかる後悔、そして湧き上がる命への情熱。生きたい。生き直したい! そして生命の限界を超えた127時間後、遂に彼は〈決断〉する。,"ヒューマンドラマ,アドベンチャー"
