タイトル,あらすじ,ジャンル
コドモのコドモ,小学校5年生の少女、春菜は幼なじみのヒロユキと興味本位で「くっつけっこ」という遊びを始める。性教育の授業の後、妊娠したのかもしれないと思い始める。,漫画が原作の国内映画
ハンサム・スーツ,心優しいブサイクが超ハンサム男に大変身! 料理も人柄も完璧だがブサイクな琢郎は着るだけでハンサムになれるスーツを手に入れる。ハートフルな夢と笑いの物語。,ヒューマンドラマ
愛のむきだし,神父である父との繋がりを「懺悔」で保つため罪作りに没入するユウ。いつの間にか絶妙な角度と早業で盗撮名人となる。ある日理想の女性に出会うが...。,ヒューマンドラマ
パコと魔法の絵本,偏屈な老人を絵に描いたような入院患者と、同じ絵本を読み続ける記憶障害の少女。病院の中で2人が出会ったとき、信じられない奇跡が起きる。,日本アカデミー賞受賞映画
トミカヒーロー レスキューフォース　爆裂MOVIE　～マッハトレインをレスキューせよ!～,世界を一周する夢の超特急マッハトレインが、ドクトル・マデゥを名乗る人物に乗っ取られた。大災害から人々を救うため、レスキューフォースの出動が要請される。,キッズ・ファミリー映画
フレフレ少女,野球部のエースに恋をして、廃部寸前の応援部に入部した桃子。熱意を認められいきなり団長に指名されるが、寄せ集め団員たちは筋金入りのへなちょこばかり。,スポーツをテーマにしたヒューマンドラマ
映画 Yes! プリキュア5GoGo! お菓子の国のハッピーバースディ,お菓子の国に招待され、お菓子を堪能するプリキュアたち。そこにプリキュアたちをお菓子にしてしまおうと企む悪者ビター&ドライ、ムシバーンが現れる。,アニメ
東京タワー　オカンとボクと、時々、オトン,イラストレーターとして才能はあるが、自堕落な生活を送る雅也(まさや)は母親にまるで頼りきり。やがて仕事がうまく回り始めるが、母親のガンが発覚してしまう。,日本アカデミー賞受賞映画
舞妓Haaaan!!!,熱狂的な舞妓ファンの男は、彼女と別れて意気揚々と京都へ転勤。捨てられた彼女は彼を見返そうと京都で舞妓になることを決意し、事態はややこしくなってゆく。,コメディ
トップをねらえ! &トップをねらえ2! 合体劇場版!!,人類が宇宙に進出するようになった未来。宇宙パイロットになることを夢見る少女ノリコとノノが、宇宙を舞台に、地球の敵である宇宙怪獣に立ち向かう。,国内SF・ファンタジー
ワンピース エピソード・オブ・アラバスタ 砂漠の王女と海賊たち,アラバスタ王国では悪の秘密結社が暗躍。諸悪の根源がクロコダイルだと知った王女・ビビと麦わら海賊団が、その陰謀から砂漠の国を守るべく立ち上がる。,国内アクション・アドベンチャー
マリと子犬の物語,大地震に襲われた一家は、愛犬を置いて避難することを余儀なくされる。一家と愛犬は、再会を果たせるのか? 新潟県中越地震で起きた出来事に基づく家族の物語。,実話に基づくヒューマンドラマ
ピアノの森,ピアニストを目指す修平は、転校早々に森の壊れたピアノを弾くようにガキ大将から命じられる。実は、そのピアノから美しい音を出せるのは同級生の海だけだった。,キッズ・ファミリー映画
茄子 スーツケースの渡り鳥,チーム「パオパオ・ビール」、今度の舞台は日本! マルコの自殺にショックを受け、引退を考えていたチョッチ。悲しみを胸に秘めながらジャパンカップに挑む。,スポーツアニメ
自虐の詩,子どもの頃から不運続きの幸江は、乱暴で酒飲み、ギャンブル狂のダメ亭主イサオに健気に尽くしていた。そんなある日、刑務所帰りの父親が幸江の前に現れる。,ヒューマンドラマ
魍魎の匣,"東京を震撼させる連続殺人事件、怪しい教団、謎の医学研究所。一見無関係な3つを結ぶ""ハコ""の秘密に、人の記憶を盗み見ることのできる探偵、刑事、作家らが挑む。",国内犯罪捜査
天然コケッコー,中学生のそよが通うのは、全校生徒たった6人の分校。ある日、かっこいい男子が東京から転校してくると、そよの胸は期待で弾み、やがてときめきで高鳴ってゆく。,ヒューマンドラマ
人のセックスを笑うな,美大に通う19歳のみるめは、20歳年上の講師ユリと恋に落ちる。ユリの肉体に夢中になっていくみるめ。だがユリは結婚していた…。,ティーン向け恋愛・ラブストーリー
アヒルと鴨のコインロッカー,大学生の椎名は、奇妙な隣人から本屋を襲う手伝いを持ち掛けられる。引っ越し初日、しかも初対面での怪しい話。全ては、どこか切ない隣人の過去に関わっていた。,ヒューマンドラマ
映画 Yes! プリキュア5 鏡の国のミラクル大冒険!,西洋風のテーマパークでお姫様気分を満喫するプリキュアたち。そこでココとナッツがさらわれ、助けに向かうプリキュアたちの前に、自分たちにそっくりな敵が出現。,アニメ
劇場版 CLANNAD -クラナド-,朋也は毎日を無気力に過ごし、高校生活を楽しめずにいた。病弱な少女、渚に出会うまでは…。演劇部の再建を目指す渚の懸命な姿に、朋也は次第に心ひかれてゆく。,ビデオゲームが原作のアニメ
象の背中,やり手のサラリーマンを突然襲った肺がんによる余命宣告。延命治療を拒否し、最期の日々を精一杯生きることを選んだ主人公は、自分の過去と向き合うことにする。,ヒューマンドラマ
攻殻機動隊 STAND ALONE COMPLEX Solid State Society,"世間を揺るがせた難民事件の後、謎の失踪を遂げた草薙。トグサが率いる新生公安9課は、""傀儡廻""と呼ばれる超ウィザード級ハッカーの脅威に立ち向かうことに。",国内SF・ファンタジー
白竜,"冷酷な目つきと類まれなる男気で、任侠の世界で一目置かれる1人の極道、通称""白竜""。親と慕う組長のため、信じた道を突き進む真のヤクザの生き様がここに。",国内アクション・アドベンチャー
機動戦士ΖガンダムIII -星の鼓動は愛-,「機動戦士Ζガンダム」の劇場化第3弾。地球圏の戦乱は、エゥーゴ、ティターンズを掌握したいシロッコ、そしてアクシズの三つどもえの死闘により混迷を極める。,国内SF・ファンタジー
フラガール,廃れて行く町の経済を活気づけようと、ハワイ風の温泉施設が計画される。そこで立ち上がった地元の少女たちも、ゼロからフラダンスを覚えることに。,日本アカデミー賞受賞映画
トリック劇場版2,霊能力者に連れ去られた幼馴染を救ってほしい。そんな依頼を受けた物理学者の上田は、自称天才奇術師の奈緒子を引き連れ、霊能力者が支配する島へと向かう。,ミステリー
さくらん,艶やかに煌めく吉原の遊郭で、少女は誰にも頼らず、真っ直ぐに自分を信じて吉原一の花魁へ駆け上がっていく。異彩を放つ彼女に、見受けの話が舞い込むのだが…。,歴史・時代劇
ワンピース THE MOVIE カラクリ城のメカ巨兵,お婆さんをメカ島へ送ったルフィたちは、島の領主、ラチェットと協力して宝を探すことに。ところがラチェットは、ルフィたちを利用したいだけだった。,国内アクション・アドベンチャー
手紙,殺人で服役中の兄を持つ直貴には夢も希望もあるが、兄の存在が足かせとなり何事も上手くいかない。守るべき存在を得た時、直貴が兄に宛てた手紙の内容とは…。,ヒューマンドラマ
オトシモノ,駅で落し物を拾った直後行方不明になった妹。その居場所を探す女子高生・奈々を待ち受けていたのは地下鉄に隠された恐ろしい秘密と1人の女性の怨念だった…。,ホラー
首領がゆくシリーズ,日本の首領(てっぺん)に立つ男になってやる。極道の世界で生きる男達が、頂点を目指し突き進む。哀川翔主演、任侠シリーズ全3話。真の侠がここにいる!,国内任侠映画
ただ、君を愛してる,誠人は大学で幼い容姿の個性的な女の子、静流と出会う。誠人に恋をした彼女は毎日のように一緒に写真撮影に出かけるが、彼には別に想いを寄せる同級生がいた。,泣けるラブロマンス
まじめにふまじめ かいけつゾロリ なぞのお宝大さくせん,悪いかいぞくに追われているカワイイ少女を助けたゾロリ。少女は、父の形見を手がかりに宝物を探していた。少女に一目ぼれしたゾロリは、宝探しを手伝うことに。,コメディ・ギャグアニメ
タイヨウのうた,病気のせいで太陽の光を避けながら生きる少女は、夜になると駅前でギターを弾いていた。そこで少女は、密かに思いを寄せる青年と知り合う。,泣けるラブロマンス
LOVEHOTELS ラヴホテルズ,男性の間で揺れるスズコ、不倫中のサクラ、セフレ持ちのサチ、恋愛拒絶症の愛。日本特有のラブホの世界を舞台に、女性4人のリアルな愛とセックスを描く群像劇。,ヒューマンドラマ
映画 ふたりはプリキュア Splash Star チクタク危機一髪!,"のど自慢大会にデュエットで出場を決めた咲と舞。当日咲が寝坊、何とか間に合うが歌詞をド忘れ。心の中で""時間よ止まれ!""と願うと本当に時間が止まり...。",アニメ
戦国自衛隊1549,実験中の事故により自衛隊の特別実験中隊が戦国時代にタイムスリップしてしまう。救出のため戦国時代に潜入した特殊部隊は、そこで思わぬ敵に行く手を阻まれ…?,国内SF・ファンタジー
亡国のイージス,東京湾沖で訓練中のイージス艦が外国の対日工作員に乗っ取られてしまう。政府の対応が遅れる中、先任伍長の仙石がテロリストの計画を阻止しようと立ち向かう。,国内アクション・アドベンチャー
劇場版 甲虫王者ムシキング,"""ムシキング""で世界一を目指す少年・ケントの前に、""ダークサイド・ネプチューンオオカブト""を操る少年・シローが現われて、究極のムシバトルが今、始まる!",ビデオゲームが原作のアニメ
ワンピース THE MOVIE オマツリ男爵と秘密の島,オマツリ島を訪れ、オマツリ男爵に出会ったルフィたち。リゾートを思いっきり楽しむ前に地獄の試練を乗り越えなければ、もてなしを受けられないと言われ...。,国内アクション・アドベンチャー
妖怪大戦争,妖怪を見ることができる特殊能力を持った都会育ちの弱虫少年・タダシ。世界征服を企む魔人の手から世界を守るため、日本全国の妖怪と力を合わせて大戦争に挑む!,国内SF・ファンタジー
機動戦士ΖガンダムII -恋人たち-,"連邦軍のエリート組織""ティターンズ""と、反地球連邦組織""エゥーゴ""の内戦は苛烈を極めていた。そんな中、旧ジオン軍の残党が公国の再興を目論み...。",国内SF・ファンタジー
隣人13号,引っ越しも仕事も、全ては幸せに暮らすかつてのいじめっ子に近づくため。積年の恨みを晴らす復讐計画、手を下すのはもう一人の自分。その狂気は、制御不可能。,ホラー
タッチ,野球に打ち込む双子の兄弟と、幼馴染みの少女。思春期を迎え互いを異性として意識し始めたとき、3人の関係が揺れ動く。青春ラブストーリーの金字塔を映画化。,泣けるラブロマンス
Strange Circus 奇妙なサーカス,小学生の少女は父から性的虐待を受け続け、それが近親相姦と自覚する事なく、心だけが壊れていく。母は娘に対して激しく嫉妬し、娘への虐待を繰り返すが...。,ヒューマンドラマ
龍が如く ～序章～ 実写版,児童擁護施設で育った桐生一馬はいかにして極道の道を選び、波乱の人生へと身を投じることになったのか。人気ゲーム「龍が如く」を実写化した始まりの物語。,国内任侠映画
劇場版 AIR,人形芸をしながら旅をする往人と、海辺の町で暮らす少女、観鈴。運命の出会いを果たした2人は、やがて恋に落ちてゆく。まるで、町に伝わる恋物語のように…。,ビデオゲームが原作のアニメ
僕と彼女の×××,恋した彼女と中身が入れ替わった!? おかしな機械が原因で大変な事になった高校生のあきらと菜々子。壊れた機械を修理すべく、お金を稼ぐことになり...。,ティーン向け恋愛・ラブストーリー
映画 ふたりはプリキュアMax Heart,"世界に希望のパワーを送り出す""希望の園""のダイヤモンドラインが、闇の世界の魔女に狙われる。希望の園を守るため、プリキュアたちは希望の園に向かう...。",アニメ
映画 ふたりはプリキュア Max Heart2 雪空のともだち,"なぎさたちとやって来たスキー場で、ひかりは不思議な卵を見つける。生まれてきたのは伝説の鳥""ほうおう""だったため、怪しい闇の世界の影が忍び寄ってくる。",アニメ
イノセンス,肉体の機械化が進み、人間と機械の境界が曖昧になった世界。少女型ロボットが、所有者の人間を惨殺する事件が発生。サイボーグの刑事が迫る、事件の真相とは…。,国内SF・ファンタジー
聖闘士星矢 天界編 序奏 ~overture~,冥界での死闘で力を失った星矢。神に抗った星矢の抹殺を命じる月の女神アルテミス。星矢の命を救うため、沙織はアテナの地位と地上世界の支配権を姉に譲り渡す。,国内SF・ファンタジー
いま、会いにゆきます,妻を亡くした男と幼い息子の前に、死んだはずの妻と瓜二つの女性が現れる。男は記憶をなくしている彼女を家に迎え入れ、一緒に暮らし始める。,国内SF・ファンタジー
機動戦士Ζガンダム -星を継ぐ者-,"高校生の少年が反抗心から、新型""ガンダムMk-II""を盗む。そして地球連邦軍のエリート部隊と、その支配に反発するレジスタンス組織の戦争に身を投じる。",国内SF・ファンタジー
スチームボーイ,発明一家に生まれた少年レイは、祖父ロイドから謎の金属ボールを託される。この球体こそ、国全体に必要な動力をまかなう程のエネルギーを持つ驚異の発明だった。,国内SF・ファンタジー
世界の中心で、愛をさけぶ,日本中が涙したミリオンセラー青春恋愛小説を独自解釈で映画化。婚約中のサクと律子は亜紀の死という高校時代の悲劇を乗り越え、未来への一歩を踏み出せるのか。,日本アカデミー賞受賞映画
ワンピース 呪われた聖剣,アスカ島の奥地へと入り、島に伝わる七星剣について知ったルフィたちは、裏切りや襲撃に直面する。さらに、剣に封じられていた妖力が復活しようとしていた。,国内アクション・アドベンチャー
パッチギ!,京都府立東高校の康介は、日頃から争い事の絶えない朝鮮高校空手部に親善試合を申し込む。そんな中、彼は音楽室でフルートを奏でていた少女に一目惚れし...。,日本アカデミー賞受賞映画
デビルマン,研究中に誤って覚醒されたデーモン。親友同士の高校生・明と了はデーモンに体を乗っ取られるが、明は強い意志により、半分人間半分悪魔のデビルマンとなる。,国内SF・ファンタジー
半落ち,アルツハイマー病を患う妻を殺したと現職警部が自首してきた。だが殺害から自首までの2日間の行動について、頑なに口を閉ざす。新聞記者は理由を調べ始めた。,日本アカデミー賞受賞映画
着信アリ,携帯電話に不気味な着信音がなり、本人の死を予告する謎のメッセージが入る。女子大生の由美を取り巻く友人たちに次々と呪いの着信が入り、恐怖が広がっていく。,ホラー
茄子 アンダルシアの夏,世界三大自転車レースの一つブエルタ・ア・エスパーニャで、ぺぺは勝利を目指し、ひたすら走り続ける。故郷の村を通り抜けるとき、様々な思いが心をよぎる…。,スポーツアニメ
ジョゼと虎と魚たち,大学生活を満喫する恒夫はある日、乳母車に乗せられた障碍者のくみ子に出会う。エキセントリックなくみ子の言動に戸惑いつつも、恒夫は彼女に惹かれていく。,ヒューマンドラマ
ワンピース THE MOVIE デッドエンドの冒険,"世紀の大レース、""デッドエンド""にエントリーするルフィたち。ガスバーデ将軍や海賊の懸賞金を狙うアナグマなど、そこには強力なライバルたちが参加していた。",国内アクション・アドベンチャー
映画 あたしンち,父・母・みかん・ユズヒコのタチバナ家では、相変わらず母のパワー炸裂。だが、それなりに平和だった毎日が、母とみかんの体が入れ替わって以来、大変なことに!,コメディ・ギャグアニメ
仮面ライダー555 パラダイス･ロスト,人類の大半がオルフェノクと化し、スマートブレイン社により支配された近未来。残された人類存続の望みは行方知らずの救世主、仮面ライダーファイズに託される。,キッズ・ファミリー映画
カウボーイビバップ　天国の扉,舞台は2071年、火星。タンクローリー車の炎上事故を引き金に、お馴染みの賞金稼ぎたちが今度はバイオテロ犯を追う。史上最高の懸賞金は俺らが貰ってやる!,国内SF・ファンタジー
呪怨 劇場版,老人介護のボランティアである家を訪れた女子大生。そこには、人ならぬものが数々とうごめいた。やがて人々は、次々と底なしの恐怖と戦慄に引きずり込まれる…。,ホラー
トリック劇場版,"災いが起こるとされる村で、人々の不安を取り除くため""神""を演じてほしいと頼まれた自称天才奇術師の奈緒子。だが村で待ち受けていたのは、数々の怪奇現象だった。",ミステリー
ピンポン,卓球が好きでたまらない天真爛漫で天才肌のペコと、卓球は暇つぶしと言うクールなスマイル。この星の1等賞になるのはどっちだ! 胸が熱くなる究極の青春映画!,日本アカデミー賞受賞映画
∀ガンダム I地球光 / II月光蝶,ムーンレィスの少年ロランは月の民と、地球に住む者たちとの間で戦争が起こることを恐れていたが、地球潜入中に、複雑な勢力争いに巻き込まれていく...。,国内SF・ファンタジー
ワンピース 珍獣島のチョッパー王国,ルフィ達が訪れた王冠島では、秘宝を狙うバトラー伯爵一味がツノのある動物達を襲っていた。伝説の動物王だと勘違いされたチョッパーは、動物達を守れるのか!?,国内アクション・アドベンチャー
完全なる飼育 香港情夜,高校生の愛は修学旅行先の香港で、タクシーの運転手に誘拐されてしまう。だが運転手の男と過ごす監禁生活の中で、彼女は男の抱える孤独に共感を覚えはじめる。,ヒューマンドラマ
殺し屋1,ヤクザとそれを取り巻く人間関係を、冷酷なシーンを交えて描いたバイオレンスストーリー。山本英夫の同名漫画作品を、三池崇史監督が血なまぐさく映画化。,ホラー
自殺サークル,東京のど真ん中で、女子高生54人の集団飛び込み自殺が発生。その事件を発端に、集団自殺が全国に飛び火し、連鎖する悲劇が日本を飲み込んでゆく。,ホラー
ワンピース ねじまき島の冒険,愛船を盗まれた麦わらの一味は、からくり仕掛けのねじまき島へ行くことに。そこでは、ダイヤモンドクロックを手にしたトランプ海賊団が島民達を苦しめていた。,国内アクション・アドベンチャー
GO,"民族学校に通っていた""在日""の杉原は、広い世界が見たいと日本の普通高校へ。将来、恋愛、アイデンティティ、社会の根強い偏見。少年は大人への道を走り出す。",日本アカデミー賞受賞映画
完全なる飼育 愛の40日,心理カウンセラーが出会った若い女性には影があった。彼女の話を聞くと、壮絶な過去が明らかになる。実は十代の時に監禁され、トラウマを背負っていたのだ。,ヒューマンドラマ
少女 an adolescent,事件も特に無い小さな町で、警官は怠惰な日々を過ごしていた。ところが、ある日、美しい少女に誘惑され、やがて逢瀬を重ねてゆく。許されざる愛の終着駅とは?,ヒューマンドラマ
劇場版 ワンピース,かつて黄金の大海賊ウーナンは、ある島に宝を埋めたという。この宝を巡り、海賊エルドラゴとルフィ達との激しい争奪戦がスタート。黄金は、麦わらの一味が頂く!,国内アクション・アドベンチャー
実録 広島やくざ戦争,原爆投下で広島は焦土と化し、極道たちは大親分を失う。親分亡き後の広島の覇権を巡り、いくつかの新興勢力が名乗りを上げ、血みどろの仁義なき戦いが勃発する。,国内アクション・アドベンチャー
アナザヘヴン,"死体の脳みそを調理し現場に残すという連続猟奇殺人事件が発生。捜査にあたる刑事たちは、一連の事件の元凶である恐ろしい""ナニカ""の正体に近づいていくが…。",ホラー
十五才 学校IV,屋久島の縄文杉を目指し、一人旅に出た不登校の15才、大介。旅先で、様々な人との出会いを通して、生きていくことの意味を考え成長していく少年の姿を描く。,ヒューマンドラマ
39 刑法第三十九条,ある殺人事件の裁判で被告人が多重人格と認定される。だが、鑑定を行った教授の助手が、詐病と直感し...。犯人と鑑定人の虚々実々の攻防を描く心理サスペンス。,法廷ヒューマンドラマ
完全なる飼育,"見知らぬ中年男性に誘拐監禁される女子高生クニコ。初めは激しく抵抗するが、優しさに触れて心を開き、彼に""飼育""されることを受け入れるようになっていく。",ヒューマンドラマ
EVANGELION: DEATH (TRUE)²,"セカンドインパクトから15年後、内向的な少年の碇シンジは特務機関ネルフに加わり、謎の敵""使徒""との戦いに身を投じる。戦いの果てに待つ残酷な真実とは...。",国内SF・ファンタジー
リング,姪の不審死をきっかけに「呪いのビデオ」の調査を始めたジャーナリスト。観たものは1週間後に死ぬというそのビデオには恐ろしい呪縛が潜んでいた…。,国内名作映画
花のお江戸の釣りバカ日誌,釣りばかりして藩をクビになった江戸の浪人・浜崎伝助は、ある晩釣りに出かけ、寂しげな隠居・鈴木一之助と知り合うが…。人気シリーズの時代劇スタイル番外編。,歴史・時代劇
SADA　戯作・阿部定の生涯,舞台は1936年。愛人を殺し、局部を切り取るという驚愕の事件が日本を震撼させた。芸者から売春婦となり、各地を点々として生きた女性・阿部定の半生を描く。,ヒューマンドラマ
学校III,自閉症の息子を1人で育てる紗和子は再就職のため職業訓練校に入校する。必死で資格取得に励む中、元大企業社員でクラスの問題児・高野の存在が気になり始め…。,ヒューマンドラマ
新世紀エヴァンゲリオン 劇場版 Air/まごころを、君に,人為的なサードインパクトに失敗したゼーレ。ゲンドウが人類補完計画を発動する前にエヴァを破壊しようと、ネルフに総攻撃を仕掛ける。,ロボット・サイボーグアニメ
失楽園,中年のベテラン編集者と美しい書道の講師。不幸な結婚生活を送っている２人が、激しく惹かれ合い情事を重ねるようになるが、悲劇的な結末を迎える。,日本アカデミー賞受賞映画
岸和田少年愚連隊,70年代半ば、大阪の岸和田に住むチュンバと小鉄は、仲間とつるんで暴れまくる毎日。ケンカも恋も、ビビったら終わり。元気が有り余る少年達の純粋青春物語!,ヒューマンドラマ
スワロウテイル,そこは、違法滞在者、泥棒、ゴミを集め暮らす人間たちがたむろする街。肉親を失い行き場を失った少女は、ある娼婦に引き取られる。,インディーズ映画
学校II,卒業式を控えたある日、高等養護学校の2人の生徒が寮から姿を消す。後輩教師の小林と共に後を追う竜平の脳裏に蘇るのは、2人と過ごした3年間の日々だった。,ヒューマンドラマ
ドラゴンボール 最強への道,7つそろうと願いごとがかなうというドラゴンボールを求め、旅に出た悟空とブルマ。その先には、ワクワクするような出会いと白熱のバトルが待ち受けていた!,国内アクション・アドベンチャー
Ghost in the Shell/攻殻機動隊,"西暦2029年。精鋭サイボーグによる超法規特殊部隊、公安9課・攻殻機動隊に、国際手配中の凄腕ハッカー""人形使い""が日本に現れたという情報が届く。",ロボット・サイボーグアニメ
ドラゴンボールZ 龍拳爆発!! 悟空がやらねば誰がやる,伝説の勇者タピオンの復活と同時に、太古の幻魔人ヒルデガーンのふういんも解かれてしまった。このおそろしいかいぶつに、悟空達は一体どう立ち向かうのか!?,国内アクション・アドベンチャー
ドラゴンボールZ 復活のフュージョン!! 悟空とベジータ,かいぶつジャネンバがあの世の閻魔宮で大暴れし、退治に向かった悟空はあまりの強さに大ピンチ。こうなったら、ベジータの力を借りてフュージョンするしかない。,国内アクション・アドベンチャー
美少女戦士セーラームーンSuper S セーラー9戦士集結! ブラック・ドリーム・ホールの奇跡,ちびうさと大勢の子供達がさらわれた! 犯人は、世界をブラック・ドリーム・ホールで包もうとするバディヤーヌ。世界とちびうさを救うため、セーラー戦士出動!,キッズアニメ
スラムダンク 湘北最大の危機! 燃えろ桜木花道,全国大会出場に向けて、後がない湘北バスケ部。新設校の緑風高校と練習試合をするが、手強い相手に予想外の大苦戦。練習試合とはいえ、敗北は絶対に許されない。,スポーツアニメ
打ち上げ花火、下から見るか? 横から見るか? - New Color Grading -,"ある夏の日。転校することが決まった少女なずなは、同級生と""かけおち""を計画。その企てが失敗に終わった後、気が付くと1日の時間が巻き戻されていた。",ヒューマンドラマ
ドラゴンボールZ 超戦士撃破!! 勝つのはオレだ,最強戦士、ブロリーは、確かに死んだはずだった。だが、ブロリーはバイオ戦士として復活し、悟天達におそいかかる。小さな超サイヤ人達が、強敵に立ち向かう!,国内アクション・アドベンチャー
ドラゴンボールZ 危険なふたり! 超戦士はねむれない,"ドラゴンボールを探す悟天とトランクスの""気""が、伝説の超サイヤ人ブロリーを目覚めさせた。ふくしゅうに燃えるブロリーが、おそろしいパワーでおそいかかる!",国内アクション・アドベンチャー
釣りバカ日誌スペシャル,ハマちゃんの出張中に、みち子さんが寂しいだろうとハマちゃん宅に立ち寄るスーさん。そのまま酔いつぶれ、翌朝家を出るところを隣人に見られてしまい…。,ヒューマンドラマ
愛の新世界,風俗界で働くレイとアユミは、ひょんなことで出会い、意気投合する。虚構の世界に身を置く2人の無軌道にもみえる生活を描いた異色の青春映画。,ヒューマンドラマ
ドラゴンボールZ 燃えつきろ!! 熱戦・烈戦・超激戦,悟空が界王から知らされる、新たな宇宙の危機。なんと、南の銀河が伝説の超サイヤ人にはかいされたという。ベジータは、新しい王になるよう説得されるのだが…。,国内アクション・アドベンチャー
ドラゴンボールZ 銀河ギリギリ!! ぶっちぎりの凄い奴,悟飯と仲間達は天下一大武道大会に出場するが、出場者の中には銀河の支配をたくらむボージャック一味がまぎれこんでいた。悪の野望から地球を守る戦いが始まる。,国内アクション・アドベンチャー
学校,様々な境遇の人が集まる下町の夜間中学に、クラスの一員、イノさんの訃報が届いた。教員の黒井、級友の張、えり子、みどり、カズは学校生活をふり返り始める。,日本アカデミー賞受賞映画
ドラゴンボールZ 激突!! 100億パワーの戦士たち,悟空と仲間達の前に立ちはだかる、ロボット軍団を使って星をおそう正体不明の星と、たおしたはずのかつての強敵。宇宙をゆるがすほどの、空前のバトルが始まる!,ロボット・サイボーグアニメ
ドラゴンボールZ 極限バトル!! 三大超サイヤ人,ドクター・ゲロが完成させた最強の人造人間13号、14号、15号が大暴れし、このままでは地球が乗っ取られてしまう。この強敵を止められるのは、悟空達しかいない!,ロボット・サイボーグアニメ
墨東綺譚,永井荷風の同名小説をもとに、主人公を荷風自身に置き換えて映画化、赤線の娼婦との淡いロマンスを綴った文芸大作。墨田ユキの鮮烈ヌードは当時話題をさらった。,ヒューマンドラマ
機動戦士ガンダムF91 完全版,宇宙世紀0123、クロスボーン・バンガードの部隊がコロニーを襲撃。高校生のシーブック・アノーは、連邦軍のガンダムF91のパイロットとして戦場に駆り出される。,国内SF・ファンタジー
ドラゴンボールZ とびっきりの最強対最強,ナメック星からもどった悟空の前に現れた新たな強敵は、フリーザの兄、クウラ。クウラはサイヤ人をぜんめつさせようと大暴れし、悟空達は絶体絶命の大ピンチに!,国内アクション・アドベンチャー
息子,岩手でやもめ暮らしをする父の気がかりは、東京に住むフリーターの息子。やがて息子は可憐なろうあ女性に恋をし、愛する人のために働く喜びを見い出すのだった。,日本アカデミー賞受賞映画
劇場用映画 ちびまる子ちゃん 大野君と杉山君,席替えが行われ、まる子は大野と杉山と同じ班になった。2人は少し暴れんぼうだけど、仲が良い名コンビ。ところが、大野と杉山は、運動会で大ゲンカしてしまう。,コメディ・ギャグアニメ
ドラゴンボールZ 地球まるごと超決戦,宇宙のこわし屋ターレス軍団が神精樹の種を地球に植え、その実でパワーアップしようとしている。地球が栄養を吸われるのを止めるため、悟空達は戦いをいどむ!,国内アクション・アドベンチャー
ドラゴンボールZ この世で一番強いヤツ,脳だけで生きる悪の天才科学者Dr.ウィローは長いねむりから目覚め、この世で一番強いヤツの肉体を求めて亀仙人とピッコロを手にかける。悪の野望を止めろ、悟空!,国内アクション・アドベンチャー
ドラゴンボールZ,ガーリックJr.にゆうかいされてしまった悟飯。敵のねらいは、ドラゴンボールを使って神様にふくしゅうを果たすことだった。悟空のいかりが、悪の野望を打ち破る!,国内アクション・アドベンチャー
鉄男 ニューHDマスター,車で轢き殺した遺体を山林に捨てた男は、数日後、自分の顔から金属片が出ていることに気づく。その日を境に、平凡なサラリーマンだった彼の日常は鉄に蝕まれる。,ホラー
AKIRA,人気コミックのアニメ化作品。第三次世界大戦後に崩壊し、復興されたネオ東京。突如、軍の施設に連れて行かれた暴走族の友人を救うため、仲間たちが立ち上がる。,国内SF・ファンタジー
機動戦士ガンダム　逆襲のシャア,シャアは新生ネオ・ジオン軍を率い、地球連邦政府に宣戦布告。宿敵の野望を砕くべく、アムロは新型ガンダムで出撃する。長きに渡る2人の因縁、ついに最終決着。,国内SF・ファンタジー
釣りバカ日誌シリーズ,"四国から東京本社へ転勤になった釣りバカの浜崎。社長の鈴木と出会うが、仕事に情熱のない伝助は社長の顔を知らず、""スーさん""、""ハマちゃん""と呼び合う仲に。",ヒューマンドラマ
ビー・バップ・ハイスクール 高校与太郎完結篇,めでたくヒロシが釈放されるが、中学生同士の小競り合いが飛び火し、愛徳と立花が一触即発状態に。そこに極東高が乱入し、壮絶な大乱闘が繰り広げられる。,アクションコメディ
ビー・バップ・ハイスクール 高校与太郎音頭,ヒロシが警察にパクられ、すっかりヤケ気味のトオル。そんなある日、北高2年の男子とちょっとしたイザコザを起こし、ダチの新吾とタイマンを張るハメに。,アクションコメディ
ドラゴンボール 摩訶不思議大冒険,亀仙人のもとで修行を積んだ悟空とクリリンは、ミーファン帝国で開かれる大武道大会に参加することに。ドラゴンボールをめぐる、不思議なぼうけんが幕を開ける。,国内アクション・アドベンチャー
王立宇宙軍 オネアミスの翼,ただ漠然と毎日を過ごす宇宙軍の兵士シロツグは、ある少女との出会いをきっかけに宇宙パイロットに志願する。幾つもの壁を乗り越え、まだ見ぬ宇宙を目指すが…。,国内SF・ファンタジー
ビー・バップ・ハイスクール 高校与太郎狂騒曲,ひょんなことからヒロシが美人女子大生・まゆみと付き合い始める。だが、城東退学組のワルが絡んできて、ヒロシの恋路に邪魔が入り、大乱闘が巻き起こる。,アクションコメディ
ビー・バップ・ハイスクール 高校与太郎行進曲,ヒロシとトオルに一泡吹かせられた進学校・桜ヶ丘のワルが、自分の女を使ってヒロシとトオルを誘い出す。その女を巡り、敵味方入り乱れての乱闘が展開。,アクションコメディ
