タイトル,あらすじ,ジャンル
人狼ゲーム ラヴァ―ズ,"高校生に殺し合いをさせる""人狼ゲーム""。今回集められたのは過去に勝ち上がった経験者たち。参加者が新ルールに混迷する中、再び恐怖と戦慄のゲームが始まる。",ティーン向けホラー
ウェポン・フロントライン 航空自衛隊 マルチロールファイターF-2,航空自衛隊が誇るマルチロールファイター、F-2。陸海空すべての脅威に対応する能力と優れた操縦性を実現した戦闘機の性能に迫り、ド迫力の戦闘訓練に密着する。,国内映画
ReLIFE リライフ,"海崎新太は、人生に挫折した無職の27歳。1年間限定で高校生に戻り、人生をやり直す""リライフ""プログラムに参加するが、高校生活も楽ではなかった。",ヒューマンドラマ
闇金ドッグス5,闇金会社で働く元イケメンホストが、突然、銀行系ローン会社から返済を迫られる。実は偽装結婚を繰り返していた彼の最後の結婚相手が借金を踏み倒していた!,社会問題に迫るヒューマンドラマ
すんドめ NEW 1,妄想でしか恋ができないオタク高校生の相羽英男。もちろん童貞。なのに、理想の美少女・早華胡桃がクラスに転校してきて、速攻彼女に恋してしまう。,官能的なラブロマンス
リベンジgirl,性格以外は完璧な女、宝石美輝。政治家一家の御曹司にまさかの失恋をした彼女が決めた恋のリベンジ、それは総理大臣になることだった。,政治をテーマにしたヒューマンドラマ
一週間フレンズ。,祐樹が一目ぼれした女子高生は、1週間しか記憶が持たないという障害を抱えていた。それでも彼女のそばにいたい祐樹は、毎週友達になると決心する。,国内ヒューマンドラマ
ガールズ&パンツァー 第63回戦車道全国高校生大会 総集編,大洗女子学園の学生たちが他のチームとのバトルを戦い抜いた第63回戦車道全国高校生大会を、ハイライトシーンを集めたコンピレーションで振り返る。,国内アクション・アドベンチャー
君と100回目の恋,葵海は交通事故にあったことをきっかけに、大好きな幼なじみが時間を戻せることを知る。彼は何度も時間を戻し、ある悲しい運命を必死に変えようとしていた。,ファンタジー
花戦さ,見事な花を生けて人々の心を和ませ、ただ世の安寧を祈る花僧、池坊専好。おごれる天下人、豊臣秀吉に対し、専好は刃ではなく花を手にして一世一代の戦を挑む。,国内時代劇
あゝ、荒野　後篇,同じボクシングジムでトレーニングに励みながら、人とのつながりを求めるはみ出し者の新次と建二。やがて運命は2人を対戦させることになる。2部作の後編。,高い評価を得た映画
武曲 MUKOKU,かつて剣の道で一目置かれた男が、剣の才能を秘めた高校生男子に、まさかの一本を取られてしまう。激しく燃え始めた競争心が導く運命の先にあるのは破滅か救いか。,スポーツをテーマにしたヒューマンドラマ
報復 (かえし),高校の同級生を殺害した山井浩史は、10年間服役した後、ヤクザの下で働くことに。一方、山井が出所したことを聞きつけた被害者の父親は山井を見つけ出す。,犯罪サスペンス
すんドめ NEW 2,早華胡桃がいまや男子に大人気なのが気に入らないかつての人気者女子が、彼女に罠を仕掛けてくる。童貞オタク妄想男子の英男は、大好きな胡桃を守り切れるのか?,官能的なラブロマンス
きょうのキラ君,友だちのいない女子高生ニノが恋に落ちたのは、学校一のモテ男キラ。そんなキラが抱える悲しい秘密をきっかけに距離を縮めた2人は、順調に恋を育んでいくが…。,泣けるラブロマンス
映画 妖怪ウォッチ シャドウサイド 鬼王の復活,ケータたちの世界から30年後。数千年に一度地球をおそう最悪の妖怪(ようかい)ウィルスが出現。新たな妖怪ウォッチに選ばれし者が、妖怪退治に乗り出す。,ビデオゲームが原作のアニメ
